Komoditas;17/ 04/ 2023;18/ 04/ 2023;19/ 04/ 2023;20/ 04/ 2023;21/ 04/ 2023
Beras;12,550;11,100;11,800;12,750;12,750
Beras Kualitas Bawah I;11,400;9,450;8,000;8,000;8,000
Beras Kualitas Bawah II;11,600;8,500;8,400;8,400;8,400
Beras Kualitas Medium I;10,400;11,000;12,100;10,050;10,050
Beras Kualitas Medium II;13,000;11,900;11,800;13,300;13,300
Beras Kualitas Super I;13,900;12,400;14,350;14,200;14,200
Beras Kualitas Super II;13,350;10,600;13,700;13,500;13,500
Daging Ayam;38,400;34,750;43,150;48,900;48,900
Daging Ayam Ras Segar;38,400;34,750;43,150;48,900;48,900
Daging Sapi;61,550;74,100;140,350;78,250;78,250
Daging Sapi Kualitas 1;63,700;75,450;146,300;80,850;80,850
Daging Sapi Kualitas 2;59,350;72,700;134,350;75,700;75,700
Telur Ayam;26,250;30,600;28,500;32,800;32,800
Telur Ayam Ras Segar;26,250;30,600;28,500;32,800;32,800
Bawang Merah;43,000;43,850;47,900;53,750;53,750
Bawang Merah Ukuran Sedang;43,000;43,850;47,900;53,750;53,750
Bawang Putih;32,600;35,900;36,500;39,500;39,500
Bawang Putih Ukuran Sedang;32,600;35,900;36,500;39,500;39,500
Cabai Merah;42,950;44,850;62,250;56,700;57,100
Cabai Merah Besar;41,750;41,050;66,550;58,250;59,050
Cabai Merah Keriting;44,100;48,700;58,500;55,150;55,150
Cabai Rawit;55,900;54,600;65,900;71,250;71,250
Cabai Rawit Hijau;46,900;41,500;57,500;57,550;57,550
Cabai Rawit Merah;64,850;67,750;75,450;84,900;84,900
Minyak Goreng;20,950;14,250;18,350;23,400;23,400
Minyak Goreng Curah;0;0;4,250;4,250;4,250
Minyak Goreng Kemasan Bermerk 1;22,750;16,750;21,950;22,950;22,950
Minyak Goreng Kemasan Bermerk 2;23,250;17,050;21,050;23,850;23,850
Gula Pasir;12,300;11,500;12,750;12,000;12,000
Gula Pasir Kualitas Premium;11,000;10,850;13,450;10,400;10,400
Gula Pasir Lokal;13,600;12,100;12,050;13,600;13,600
