Komoditas;20/ 04/ 2023;21/ 04/ 2023;24/ 04/ 2023;25/ 04/ 2023;26/ 04/ 2023;27/ 04/ 2023;28/ 04/ 2023
Beras;12,750;12,750;12,750;12,750;11,700;12,800;12,800
Beras Kualitas Bawah I;-;-;-;-;8,500;8,500;8,500
Beras Kualitas Bawah II;-;-;-;-;8,050;8,050;8,050
Beras Kualitas Medium I;10,050;10,050;10,050;10,050;12,550;10,250;10,250
Beras Kualitas Medium II;13,300;13,300;13,300;13,300;11,900;13,300;13,300
Beras Kualitas Super I;14,200;14,200;14,200;14,200;14,000;14,200;14,200
Beras Kualitas Super II;13,500;13,500;13,500;13,500;13,900;13,500;13,500
Daging Ayam;48,900;48,900;50,200;50,200;38,700;50,200;50,200
Daging Ayam Ras Segar;48,900;48,900;50,200;50,200;38,700;50,200;50,200
Daging Sapi;78,250;78,250;79,600;79,600;123,650;79,350;79,350
Daging Sapi Kualitas 1;80,850;80,850;80,850;80,850;136,200;80,350;80,350
Daging Sapi Kualitas 2;75,700;75,700;78,350;78,350;110,550;78,350;78,350
Telur Ayam;32,800;32,800;32,800;32,800;31,050;33,050;33,050
Telur Ayam Ras Segar;32,800;32,800;32,800;32,800;31,050;33,050;33,050
Bawang Merah;53,750;53,750;52,500;53,750;44,450;52,500;52,500
Bawang Merah Ukuran Sedang;53,750;53,750;52,500;53,750;44,450;52,500;52,500
Bawang Putih;39,500;39,500;39,500;39,500;36,050;39,500;39,500
Bawang Putih Ukuran Sedang;39,500;39,500;39,500;39,500;36,050;39,500;39,500
Cabai Merah;56,700;57,100;59,100;57,100;56,400;57,300;57,300
Cabai Merah Besar;58,250;59,050;63,050;59,050;59,550;59,500;59,500
Cabai Merah Keriting;55,150;55,150;55,150;55,150;53,900;55,150;55,150
Cabai Rawit;71,250;71,250;63,450;71,250;59,950;68,800;68,800
Cabai Rawit Hijau;57,550;57,550;54,300;57,550;55,150;56,300;56,300
Cabai Rawit Merah;84,900;84,900;72,550;84,900;65,200;81,300;81,300
Minyak Goreng;23,400;23,400;23,400;23,400;18,550;23,400;23,400
Minyak Goreng Curah;-;-;-;-;1,550;1,550;1,550
Minyak Goreng Kemasan Bermerk 1;22,950;22,950;22,950;22,950;21,550;22,950;22,950
Minyak Goreng Kemasan Bermerk 2;23,850;23,850;23,850;23,850;20,650;23,850;23,850
Gula Pasir;12,000;12,000;12,000;12,000;13,200;12,000;12,000
Gula Pasir Kualitas Premium;10,400;10,400;10,400;10,400;13,800;10,400;10,400
Gula Pasir Lokal;13,600;13,600;13,600;13,600;12,550;13,600;13,600
