time,value
2022-12-24 14:41:13,185.13
2022-12-24 21:20:00,212.81
2022-12-24 21:24:16,180.35
2022-12-24 21:36:13,148.72
2022-12-27 17:00:00,209.54
2022-12-27 18:00:00,180.58
2022-12-27 19:00:01,180.02
2022-12-27 20:00:00,240.35
2022-12-27 21:00:00,170.29
2022-12-27 22:00:01,204.93
2022-12-27 23:00:00,229.19
2022-12-28 00:00:00,250.78
2022-12-28 01:00:00,198.09
2022-12-28 02:00:01,172.21
2022-12-28 03:00:00,148.79
2022-12-28 05:00:00,165.98
2022-12-28 06:00:00,221.08
2022-12-28 07:00:00,191.85
2022-12-28 08:00:00,124.2
2022-12-28 09:00:00,250.68
2022-12-28 10:00:00,152.72
2022-12-28 11:00:00,184.54
2022-12-28 12:00:01,196.88
2022-12-28 13:00:00,138.6
2022-12-28 14:00:00,198.72
2022-12-28 15:00:00,199.01
2022-12-28 16:00:01,187.64
2022-12-28 17:00:00,141.69
2022-12-28 18:00:00,207.25
2022-12-28 19:00:00,191.64
2022-12-28 20:00:00,189.01
2022-12-28 21:00:01,176.9
2022-12-28 22:00:00,215.58
2022-12-28 23:00:00,216.88
2022-12-29 00:00:00,170.21
2022-12-29 01:00:00,234.57
2022-12-29 02:00:00,208.04
2022-12-29 03:00:00,177.11
2022-12-29 04:00:00,244.18
2022-12-29 05:00:01,168.25
2022-12-29 06:00:00,202.67
2022-12-29 07:00:01,172.24
2022-12-29 09:00:00,268.92
2022-12-29 10:00:00,202.91
2022-12-29 13:00:00,230.87
2022-12-29 15:00:00,187.02
2022-12-29 16:00:00,231.21
2022-12-29 17:00:00,244.37
2022-12-29 18:00:01,220.24
2022-12-29 19:00:00,219.13
2022-12-29 20:00:00,147.29
2022-12-29 21:00:00,187.36
2022-12-29 22:00:00,246.78
2022-12-29 23:00:01,205.74
2022-12-30 00:00:00,194.97
2022-12-30 01:00:00,173.06
2022-12-30 05:00:00,234.79
2022-12-30 06:00:00,208.48
2022-12-30 07:00:00,196.1
2022-12-30 08:00:00,188.09
2022-12-30 09:00:00,213.02
2022-12-30 10:00:01,199.84
2022-12-30 11:00:01,225.22
2022-12-30 12:00:00,181.15
2022-12-30 13:00:00,207.7
2022-12-30 14:00:01,155.89
2022-12-30 15:00:00,207.59
2022-12-30 16:00:00,161.03
2022-12-30 18:00:00,201.52
2022-12-30 19:00:01,171.51
2022-12-30 20:00:00,173.17
2022-12-30 21:00:00,96.26
2022-12-30 22:00:00,141.62
2022-12-30 23:00:00,142.51
2022-12-31 01:00:01,250.88
2022-12-31 02:00:00,180.3
2022-12-31 03:00:00,219.97
2022-12-31 04:00:01,215.08
2022-12-31 05:00:00,179.84
2022-12-31 06:00:00,221.26
2022-12-31 07:00:01,226.21
2022-12-31 08:00:00,199.6
2022-12-31 09:00:00,198.55
2022-12-31 10:00:00,200.71
2022-12-31 11:00:00,228.84
2022-12-31 12:00:00,222.33
2022-12-31 13:00:00,188.73
2022-12-31 14:00:00,232.15
2022-12-31 15:00:01,278.53
2022-12-31 16:00:00,165.79
2022-12-31 17:00:00,195.91
2022-12-31 18:00:01,165.0
2022-12-31 19:00:00,161.71
2022-12-31 20:00:01,234.45
2022-12-31 21:00:00,171.97
2022-12-31 22:00:01,215.01
2023-01-01 00:00:01,152.32
2023-01-01 01:00:00,186.75
2023-01-01 02:00:00,165.54
2023-01-01 03:00:00,150.31
2023-01-01 05:00:00,149.65
2023-01-01 06:00:00,223.19
2023-01-01 07:00:00,260.57
2023-01-01 08:00:01,242.31
