time,value
2022-12-24 14:41:13,112.7
2022-12-24 21:20:00,108.1
2022-12-24 21:24:16,138.7
2022-12-24 21:36:13,91.8
2022-12-27 17:00:00,146.8
2022-12-27 18:00:00,139.2
2022-12-27 19:00:01,105.5
2022-12-27 20:00:00,81.3
2022-12-27 21:00:00,145.2
2022-12-27 22:00:01,113.7
2022-12-27 23:00:00,132.1
2022-12-28 00:00:00,118.0
2022-12-28 01:00:00,143.0
2022-12-28 02:00:01,131.1
2022-12-28 03:00:00,114.9
2022-12-28 05:00:00,117.7
2022-12-28 06:00:00,110.6
2022-12-28 07:00:00,59.6
2022-12-28 08:00:00,124.3
2022-12-28 09:00:00,139.6
2022-12-28 10:00:00,138.4
2022-12-28 11:00:00,123.8
2022-12-28 12:00:01,112.6
2022-12-28 13:00:00,93.0
2022-12-28 14:00:00,109.3
2022-12-28 15:00:00,70.4
2022-12-28 16:00:01,122.8
2022-12-28 17:00:00,102.4
2022-12-28 18:00:00,128.9
2022-12-28 19:00:00,146.7
2022-12-28 20:00:00,129.5
2022-12-28 21:00:01,111.7
2022-12-28 22:00:00,117.0
2022-12-28 23:00:00,89.4
2022-12-29 00:00:00,82.4
2022-12-29 01:00:00,96.8
2022-12-29 02:00:00,105.2
2022-12-29 03:00:00,130.0
2022-12-29 04:00:00,121.1
2022-12-29 05:00:01,127.5
2022-12-29 06:00:00,132.4
2022-12-29 07:00:01,125.3
2022-12-29 09:00:00,101.2
2022-12-29 10:00:00,119.5
2022-12-29 13:00:00,124.0
2022-12-29 15:00:00,132.3
2022-12-29 16:00:00,96.6
2022-12-29 17:00:00,126.1
2022-12-29 18:00:01,115.1
2022-12-29 19:00:00,141.2
2022-12-29 20:00:00,117.8
2022-12-29 21:00:00,135.1
2022-12-29 22:00:00,86.8
2022-12-29 23:00:01,152.6
2022-12-30 00:00:00,110.2
2022-12-30 01:00:00,124.1
2022-12-30 05:00:00,119.5
2022-12-30 06:00:00,94.0
2022-12-30 07:00:00,107.1
2022-12-30 08:00:00,120.9
2022-12-30 09:00:00,119.7
2022-12-30 10:00:01,100.8
2022-12-30 11:00:01,78.7
2022-12-30 12:00:00,128.6
2022-12-30 13:00:00,93.8
2022-12-30 14:00:01,149.8
2022-12-30 15:00:00,170.4
2022-12-30 16:00:00,165.4
2022-12-30 18:00:00,104.0
2022-12-30 19:00:01,82.9
2022-12-30 20:00:00,103.2
2022-12-30 21:00:00,152.9
2022-12-30 22:00:00,71.3
2022-12-30 23:00:00,102.7
2022-12-31 01:00:01,113.1
2022-12-31 02:00:00,112.8
2022-12-31 03:00:00,121.1
2022-12-31 04:00:01,127.9
2022-12-31 05:00:00,126.3
2022-12-31 06:00:00,142.2
2022-12-31 07:00:01,102.9
2022-12-31 08:00:00,115.6
2022-12-31 09:00:00,105.4
2022-12-31 10:00:00,105.9
2022-12-31 11:00:00,135.5
2022-12-31 12:00:00,110.0
2022-12-31 13:00:00,116.0
2022-12-31 14:00:00,95.6
2022-12-31 15:00:01,95.5
2022-12-31 16:00:00,123.1
2022-12-31 17:00:00,111.6
2022-12-31 18:00:01,82.9
2022-12-31 19:00:00,117.5
2022-12-31 20:00:01,106.2
2022-12-31 21:00:00,130.6
2022-12-31 22:00:01,108.6
2023-01-01 00:00:01,116.9
2023-01-01 01:00:00,120.2
2023-01-01 02:00:00,116.0
2023-01-01 03:00:00,132.8
2023-01-01 05:00:00,149.2
2023-01-01 06:00:00,128.1
2023-01-01 07:00:00,107.9
2023-01-01 08:00:01,94.0
2023-01-01 09:00:01,126.8
2023-01-01 10:00:00,135.6
2023-01-01 11:00:00,118.4
2023-01-01 12:00:00,165.8
2023-01-01 13:00:00,125.4
2023-01-01 15:00:00,119.1
2023-01-01 16:00:01,107.1
2023-01-01 17:00:00,111.1
2023-01-01 18:00:00,154.8
2023-01-01 20:00:01,125.3
2023-01-01 21:00:00,102.5
2023-01-01 22:00:00,115.5
2023-01-01 23:00:00,151.6
2023-01-02 00:00:00,141.8
2023-01-02 01:00:00,152.7
2023-01-02 02:00:00,92.2
2023-01-02 03:00:00,106.9
2023-01-02 05:00:00,126.3
2023-01-02 06:00:00,135.3
2023-01-02 07:00:00,131.1
2023-01-02 08:00:00,124.1
2023-01-02 09:00:00,76.7
2023-01-02 11:00:01,129.2
2023-01-02 12:00:00,144.4
2023-01-02 13:00:00,131.4
2023-01-02 14:00:00,147.7
2023-01-02 15:00:00,118.1
2023-01-02 16:00:00,159.1
2023-01-02 17:00:00,79.9
2023-01-02 18:00:01,116.7
2023-01-02 19:00:00,145.3
2023-01-02 20:00:00,133.3
2023-01-02 21:00:01,125.1
2023-01-02 22:00:01,116.8
2023-01-02 23:00:00,155.0
2023-01-03 00:00:00,107.0
2023-01-03 01:00:01,121.0
2023-01-03 02:00:00,133.2
2023-01-03 03:00:00,120.2
2023-01-03 04:00:01,128.6
2023-01-03 05:00:00,99.8
2023-01-03 06:00:00,92.4
2023-01-03 07:00:00,109.9
2023-01-03 08:00:01,100.0
2023-01-03 09:00:01,107.1
2023-01-03 10:00:00,131.7
2023-01-03 11:00:00,119.9
2023-01-03 12:00:01,111.7
2023-01-03 13:00:01,146.4
2023-01-03 14:00:01,120.8
2023-01-03 15:00:00,109.8
2023-01-03 16:00:00,114.5
2023-01-03 17:00:00,107.9
2023-01-03 18:00:00,138.2
2023-01-03 19:00:00,109.9
2023-01-03 20:00:00,125.2
2023-01-03 21:00:00,94.7
2023-01-03 22:00:00,140.8
2023-01-03 23:00:00,95.4
2023-01-04 00:00:00,96.3
2023-01-04 01:00:01,121.2
2023-01-04 02:00:01,126.0
2023-01-04 03:00:00,141.1
2023-01-04 04:00:00,156.3
2023-01-04 06:00:00,92.2
2023-01-04 07:00:00,104.1
2023-01-04 08:00:00,74.1
2023-01-04 09:00:00,122.9
2023-01-04 10:00:00,128.6
2023-01-04 11:00:01,139.0
2023-01-04 12:00:00,143.9
2023-01-04 13:00:01,118.0
2023-01-04 15:00:00,95.0
2023-01-04 16:00:00,135.3
2023-01-04 17:00:01,65.7
2023-01-04 18:00:00,103.6
2023-01-04 19:00:00,96.3
2023-01-04 20:00:00,119.2
2023-01-04 21:00:00,142.5
2023-01-04 22:00:00,93.6
2023-01-04 23:00:01,132.3
2023-01-05 00:00:00,107.7
2023-01-05 01:00:00,163.5
2023-01-05 02:00:00,102.9
2023-01-05 03:00:00,125.3
2023-01-05 04:00:00,132.3
2023-01-05 05:00:00,148.0
2023-01-05 06:00:00,134.3
2023-01-05 07:00:01,134.2
2023-01-05 08:00:00,110.3
2023-01-05 09:00:00,134.0
2023-01-05 10:00:00,93.9
2023-01-05 11:00:00,120.7
2023-01-05 13:00:00,114.8
2023-01-05 14:00:00,126.5
2023-01-05 16:00:00,94.3
2023-01-05 17:00:00,151.6
2023-01-05 18:00:01,121.4
2023-01-05 19:00:00,134.1
2023-01-05 20:00:00,131.0
2023-01-05 21:00:01,122.5
2023-01-05 22:00:00,113.9
2023-01-05 23:00:00,152.3
2023-01-06 00:00:01,93.6
2023-01-06 01:00:00,102.5
2023-01-06 03:00:00,91.2
2023-01-06 04:00:00,86.8
2023-01-06 05:00:00,135.6
2023-01-06 06:00:01,115.7
2023-01-06 07:00:00,114.3
2023-01-06 08:00:00,138.9
2023-01-06 09:00:01,128.5
2023-01-06 11:00:00,106.2
2023-01-06 12:00:00,126.7
2023-01-06 13:00:00,188.3
2023-01-06 15:00:00,85.5
2023-01-06 16:00:01,111.0
2023-01-06 17:00:00,123.8
2023-01-06 18:00:00,110.6
2023-01-06 20:00:00,104.7
2023-01-06 21:00:00,132.0
2023-01-06 22:00:00,111.5
2023-01-06 23:00:00,80.2
2023-01-07 00:00:00,75.2
2023-01-07 01:00:01,140.6
2023-01-07 02:00:00,129.8
2023-01-07 03:00:00,138.0
2023-01-07 04:00:00,107.9
2023-01-07 05:00:00,101.3
2023-01-07 06:00:00,136.7
2023-01-07 07:00:00,104.2
2023-01-07 08:00:01,110.4
2023-01-07 09:00:00,122.7
2023-01-07 10:00:00,111.7
2023-01-07 11:00:00,92.4
2023-01-07 12:00:00,125.8
2023-01-07 13:00:01,105.4
2023-01-07 14:00:00,115.3
2023-01-07 15:00:00,122.6
2023-01-07 16:00:01,97.3
2023-01-07 17:00:00,110.1
2023-01-07 18:00:00,110.5
2023-01-07 19:00:01,126.5
2023-01-07 20:00:00,102.4
2023-01-07 21:00:00,118.4
2023-01-07 23:00:00,123.5
2023-01-08 00:00:01,137.5
2023-01-08 02:00:00,142.1
2023-01-08 03:00:01,136.1
2023-01-08 04:00:00,143.9
2023-01-08 05:00:00,125.8
2023-01-08 06:00:01,119.5
2023-01-08 07:00:00,144.4
2023-01-08 08:00:00,119.6
2023-01-08 09:00:01,168.7
2023-01-08 10:00:00,111.2
2023-01-08 11:00:00,97.8
2023-01-08 13:00:00,112.4
2023-01-08 14:00:00,153.1
2023-01-08 15:00:00,123.1
2023-01-08 16:00:00,139.4
2023-01-08 17:00:00,121.2
2023-01-08 18:00:00,113.6
2023-01-08 19:00:00,121.6
2023-01-08 20:00:00,107.8
2023-01-08 21:00:00,114.0
2023-01-08 22:00:01,93.3
2023-01-08 23:00:00,117.0
2023-01-09 00:00:01,152.2
2023-01-09 01:00:01,108.5
2023-01-09 03:00:01,102.5
2023-01-09 05:00:01,136.9
2023-01-09 06:00:00,132.8
2023-01-09 07:00:00,132.7
2023-01-09 08:00:00,125.0
2023-01-09 09:00:00,84.9
2023-01-09 10:00:01,124.9
2023-01-09 11:00:00,82.9
2023-01-09 12:00:01,130.5
2023-01-09 13:00:01,137.1
2023-01-09 15:00:00,103.7
2023-01-09 16:00:00,117.5
2023-01-09 17:00:00,142.3
2023-01-09 18:00:00,136.8
2023-01-09 20:00:00,81.7
2023-01-09 21:00:00,127.2
2023-01-09 22:00:00,88.3
2023-01-09 23:00:00,91.6
2023-01-10 00:00:01,109.8
2023-01-10 01:00:00,111.2
2023-01-10 02:00:00,135.8
2023-01-10 03:00:00,157.0
2023-01-10 04:00:00,151.5
2023-01-10 05:00:00,118.1
2023-01-10 06:00:01,110.6
2023-01-10 07:00:00,93.1
2023-01-10 08:00:00,79.2
2023-01-10 09:00:00,139.0
2023-01-10 10:00:01,75.6
2023-01-10 12:00:00,117.3
2023-01-10 13:00:00,77.1
2023-01-10 14:00:00,107.8
2023-01-10 15:00:01,135.6
2023-01-10 16:00:00,114.1
2023-01-10 17:00:00,120.5
2023-01-10 18:00:00,153.1
2023-01-10 19:00:00,152.8
2023-01-10 20:00:00,137.9
2023-01-10 21:00:01,98.9
2023-01-10 22:00:01,154.1
2023-01-10 23:00:00,154.4
2023-01-11 00:00:00,130.8
2023-01-11 01:00:00,98.4
2023-01-11 02:00:00,126.7
2023-01-11 03:00:01,113.4
2023-01-11 04:00:00,122.0
2023-01-11 05:00:00,106.4
2023-01-11 06:00:00,82.6
2023-01-11 07:00:00,110.6
2023-01-11 09:00:00,118.7
2023-01-11 10:00:01,88.4
2023-01-11 11:00:00,115.1
2023-01-11 12:00:00,150.8
2023-01-11 13:00:00,129.3
2023-01-11 14:00:01,93.9
2023-01-11 15:00:00,101.9
2023-01-11 16:00:00,115.2
2023-01-11 17:00:01,113.3
2023-01-11 18:00:00,146.1
2023-01-11 19:00:00,138.5
2023-01-11 20:00:00,103.3
2023-01-11 21:00:00,159.0
2023-01-11 22:00:00,120.2
2023-01-11 23:00:00,165.5
2023-01-12 00:00:00,89.8
2023-01-12 01:00:01,100.1
2023-01-12 02:00:00,117.1
2023-01-12 03:00:00,125.4
2023-01-12 04:00:01,132.7
2023-01-12 05:00:00,140.1
2023-01-12 06:00:00,93.4
2023-01-12 07:00:00,121.4
2023-01-12 08:00:00,111.1
2023-01-12 10:00:00,101.0
2023-01-12 11:00:00,157.1
2023-01-12 13:00:00,114.7
2023-01-12 15:00:01,141.6
2023-01-12 17:00:00,113.1
2023-01-12 18:00:00,106.3
2023-01-12 19:00:01,142.5
2023-01-12 20:00:00,139.5
2023-01-12 22:00:00,99.9
2023-01-12 23:00:00,108.2
2023-01-13 00:00:00,95.6
2023-01-13 01:00:00,122.7
2023-01-13 02:00:00,129.1
2023-01-13 03:00:00,153.2
2023-01-13 04:00:00,141.8
2023-01-13 05:00:01,88.3
2023-01-13 06:00:00,131.5
2023-01-13 07:00:01,119.5
2023-01-13 08:00:00,137.6
2023-01-13 09:00:00,135.0
2023-01-13 10:00:01,152.1
2023-01-13 11:00:00,123.7
2023-01-13 12:00:00,108.0
2023-01-13 13:00:00,132.6
2023-01-13 14:00:00,130.1
2023-01-13 15:00:01,102.1
2023-01-13 16:00:00,121.4
2023-01-13 18:00:00,114.9
2023-01-13 19:00:00,82.4
2023-01-13 20:00:01,133.8
2023-01-13 22:00:00,143.9
2023-01-13 23:00:00,80.9
2023-01-14 00:00:00,99.8
2023-01-14 01:00:01,111.5
2023-01-14 02:00:00,91.7
2023-01-14 03:00:00,123.2
2023-01-14 04:00:00,125.2
2023-01-14 05:00:00,109.6
2023-01-14 06:00:00,119.1
2023-01-14 07:00:00,113.8
2023-01-14 08:00:00,123.9
2023-01-14 09:00:00,130.6
2023-01-14 10:00:00,114.2
2023-01-14 11:00:01,110.2
2023-01-14 12:00:00,105.9
2023-01-14 13:00:00,107.9
2023-01-14 14:00:01,88.8
2023-01-14 15:00:00,71.9
2023-01-14 16:00:00,106.8
2023-01-14 17:00:01,113.3
2023-01-14 18:00:00,129.6
2023-01-14 20:00:00,86.0
2023-01-14 21:00:00,131.6
2023-01-14 22:00:01,138.8
2023-01-14 23:00:00,168.0
2023-01-15 02:00:00,111.7
2023-01-15 03:00:01,129.6
2023-01-15 04:00:00,108.1
2023-01-15 05:00:01,124.3
2023-01-15 06:00:00,92.0
2023-01-15 07:00:00,106.3
2023-01-15 08:00:00,127.8
2023-01-15 09:00:00,107.9
2023-01-15 10:00:01,124.0
2023-01-15 12:00:00,114.1
2023-01-15 13:00:00,105.1
2023-01-15 14:00:00,115.5
2023-01-15 15:00:01,121.2
2023-01-15 16:00:01,117.7
2023-01-15 17:00:00,133.1
2023-01-15 18:00:00,95.2
2023-01-15 19:00:00,98.3
2023-01-15 20:00:00,102.0
2023-01-15 21:00:00,127.5
2023-01-15 22:00:01,134.9
2023-01-16 01:00:00,124.3
2023-01-16 02:00:00,103.3
2023-01-16 03:00:01,167.3
2023-01-16 04:00:00,120.3
2023-01-16 05:00:00,110.9
2023-01-16 06:00:00,128.3
2023-01-16 07:00:00,101.5
2023-01-16 08:00:01,93.5
2023-01-16 10:00:01,145.0
2023-01-16 11:00:00,124.3
2023-01-16 12:00:00,108.5
2023-01-16 13:00:01,114.6
2023-01-16 14:00:00,135.4
2023-01-16 15:00:00,90.8
2023-01-16 17:00:01,102.8
2023-01-16 18:00:00,101.0
2023-01-16 19:00:00,130.1
2023-01-16 20:00:00,118.8
2023-01-16 21:00:00,124.6
2023-01-16 22:00:01,100.3
2023-01-16 23:00:00,140.4
2023-01-17 00:00:00,150.2
2023-01-17 01:00:01,140.0
2023-01-17 02:00:00,120.1
2023-01-17 03:00:00,113.4
2023-01-17 04:00:00,121.8
2023-01-17 05:00:00,103.6
2023-01-17 06:00:01,118.5
2023-01-17 07:00:00,151.9
2023-01-17 08:00:00,135.1
2023-01-17 09:00:00,97.4
2023-01-17 10:00:00,118.8
2023-01-17 11:00:00,103.6
2023-01-17 12:00:00,110.1
2023-01-17 13:00:00,87.4
2023-01-17 14:00:00,133.8
2023-01-17 16:00:00,95.3
2023-01-17 17:00:00,158.1
2023-01-17 18:00:00,137.5
2023-01-17 19:00:00,143.9
2023-01-17 21:00:00,138.5
2023-01-17 22:00:00,139.1
2023-01-17 23:00:00,142.2
2023-01-18 00:00:00,106.1
2023-03-16 16:00:01,116.7
2023-03-16 17:00:00,150.8
2023-03-16 18:00:00,148.5
2023-03-16 19:00:01,125.1
2023-03-16 20:00:00,140.9
2023-03-16 21:00:00,129.4
2023-03-16 23:00:00,114.9
2023-03-17 00:00:01,75.5
2023-03-17 01:00:00,118.5
2023-03-17 02:00:00,139.9
2023-03-17 03:00:00,109.0
2023-03-17 04:00:00,149.3
2023-03-17 05:00:00,127.6
2023-03-17 06:00:00,139.1
2023-03-17 07:00:01,113.5
2023-03-17 08:00:00,80.1
2023-03-17 09:00:00,136.8
2023-03-17 10:00:00,118.9
2023-03-17 11:00:00,100.4
2023-03-17 12:00:01,103.7
2023-03-17 13:00:00,128.5
2023-03-17 14:00:01,138.5
2023-03-17 15:00:00,134.8
2023-03-17 16:00:00,105.8
2023-03-17 17:00:01,119.9
2023-03-17 18:00:00,104.9
2023-03-17 20:00:00,149.6
2023-03-17 21:00:00,95.7
2023-03-17 22:00:00,83.3
2023-03-17 23:00:00,127.4
2023-03-18 00:00:01,131.2
2023-03-18 02:00:00,163.5
2023-03-18 03:00:00,163.0
2023-03-18 04:00:00,102.4
2023-03-18 05:00:00,121.7
2023-03-18 06:00:00,141.9
2023-03-18 07:00:00,162.7
2023-03-18 08:00:01,112.0
2023-03-18 09:00:00,109.9
2023-03-18 10:00:00,128.9
2023-03-18 12:00:00,104.8
2023-03-18 13:00:00,133.8
2023-03-18 14:00:00,133.8
2023-03-18 15:00:00,138.5
2023-03-18 16:00:00,121.6
2023-03-18 17:00:01,117.9
2023-03-18 18:00:00,105.3
2023-03-18 21:00:01,153.6
2023-03-18 22:00:00,104.0
2023-03-18 23:00:00,82.1
2023-03-19 01:00:00,105.3
2023-03-19 02:00:00,112.3
2023-03-19 03:00:00,147.4
2023-03-19 04:00:00,89.4
2023-03-19 05:00:00,115.5
2023-03-19 06:00:00,125.9
2023-03-19 07:00:01,110.4
2023-03-19 08:00:00,126.3
2023-03-19 09:00:00,102.7
2023-03-19 10:00:00,144.7
2023-03-19 11:00:00,111.1
2023-03-19 12:00:01,104.8
2023-03-19 13:00:00,141.6
2023-03-19 14:00:00,127.7
2023-03-19 15:00:01,133.1
2023-03-19 16:00:00,128.7
2023-03-19 17:00:00,107.1
2023-03-19 18:00:00,129.6
2023-03-19 19:00:00,143.3
2023-03-19 20:00:01,112.8
2023-03-19 21:00:00,115.2
2023-03-19 23:00:00,61.8
2023-03-20 00:00:00,155.3
2023-03-20 01:00:00,97.3
2023-03-20 02:00:00,108.7
2023-03-20 04:00:00,140.2
2023-03-20 05:00:00,133.2
2023-03-20 07:00:00,116.4
2023-03-20 08:00:00,111.7
2023-03-20 09:00:00,91.3
2023-03-20 10:00:00,136.0
2023-03-20 11:00:01,148.5
2023-03-20 12:00:00,110.8
2023-03-20 13:00:00,115.6
2023-03-20 14:00:00,131.4
2023-03-20 15:00:00,126.5
2023-03-20 17:00:00,131.1
2023-03-20 18:00:00,114.9
2023-03-20 19:00:00,154.1
2023-03-20 20:00:00,121.4
2023-03-20 21:00:00,89.4
2023-03-20 22:00:00,116.8
2023-03-20 23:00:00,130.9
2023-03-21 00:00:00,106.3
2023-03-21 01:00:00,121.2
2023-03-21 02:00:01,148.5
2023-03-21 03:00:00,111.0
2023-03-21 04:00:00,80.6
2023-03-21 05:00:00,145.3
2023-03-21 06:00:00,145.3
2023-03-21 07:00:00,145.0
2023-03-21 08:00:00,93.5
2023-03-21 10:00:01,94.3
2023-03-21 11:00:00,153.3
2023-03-21 12:00:00,114.7
2023-03-21 13:00:01,74.1
2023-03-21 14:00:00,138.4
2023-03-21 15:00:00,112.3
2023-03-21 16:00:00,112.8
2023-03-21 17:00:00,153.4
2023-03-21 18:00:01,91.0
2023-03-21 19:00:00,150.3
2023-03-21 21:00:01,99.0
2023-03-21 22:00:00,122.1
2023-03-21 23:00:00,120.6
2023-03-22 00:00:01,152.0
2023-03-22 01:00:00,126.8
2023-03-22 02:00:00,111.8
2023-03-22 03:00:01,136.3
2023-03-22 04:00:00,104.7
2023-03-22 05:00:00,147.8
2023-03-22 06:00:00,137.9
2023-03-22 07:00:00,88.5
2023-03-22 08:00:01,112.0
2023-03-22 09:00:00,96.8
2023-03-22 10:00:00,79.2
2023-03-22 11:00:00,137.4
2023-03-22 12:00:00,136.6
2023-03-22 13:00:01,120.0
2023-03-22 14:00:00,130.6
2023-03-22 15:00:00,121.8
2023-03-22 16:00:01,138.3
2023-03-22 18:00:00,120.1
2023-03-22 19:00:01,156.0
2023-03-22 22:00:00,150.4
2023-03-22 23:00:00,106.2
2023-03-23 00:00:01,121.2
2023-03-23 01:00:00,77.4
2023-03-23 02:00:00,93.6
2023-03-23 03:00:01,130.2
2023-03-23 04:00:00,138.5
2023-03-23 05:00:00,150.0
2023-03-23 06:00:01,118.6
2023-03-23 07:00:00,116.1
2023-03-23 08:00:00,94.8
2023-03-23 09:00:00,74.4
2023-03-23 10:00:00,98.5
2023-03-23 11:00:01,110.9
2023-03-23 12:00:00,129.1
2023-03-23 13:00:00,154.5
2023-03-23 14:00:01,149.5
2023-03-23 15:00:00,148.7
2023-03-23 16:00:00,118.8
2023-03-23 17:00:00,140.8
2023-03-23 18:00:00,147.9
2023-03-23 19:00:01,110.5
2023-03-23 20:00:00,124.8
2023-03-23 21:00:00,112.8
2023-03-23 22:00:01,111.5
2023-03-23 23:00:00,117.9
2023-03-24 00:00:00,133.1
2023-03-24 01:00:00,123.5
2023-03-24 02:00:00,116.2
2023-03-24 03:00:01,122.2
2023-03-24 04:00:00,131.8
2023-03-24 05:00:00,129.7
2023-03-24 06:00:01,116.7
2023-03-24 07:00:00,120.1
2023-03-24 08:00:00,122.9
2023-03-24 09:00:01,131.7
2023-03-24 10:00:00,144.5
2023-03-24 11:00:00,115.5
2023-03-24 12:00:01,112.3
2023-03-24 13:00:00,125.8
2023-03-24 14:00:00,114.6
2023-03-24 15:00:01,135.4
2023-03-24 16:00:00,110.1
2023-03-24 17:00:00,83.0
2023-03-24 18:00:00,82.2
2023-03-24 19:00:00,80.5
2023-03-24 20:00:00,99.1
2023-03-24 21:00:00,128.2
2023-03-24 22:00:00,134.5
2023-03-25 00:00:00,102.4
2023-03-25 01:00:00,86.3
2023-03-25 02:00:00,113.2
2023-03-25 03:00:01,120.8
2023-03-25 05:00:00,104.6
2023-03-25 06:00:00,118.0
2023-03-25 07:00:00,129.4
2023-03-25 08:00:01,107.8
2023-03-25 09:00:00,106.2
2023-03-25 10:00:01,129.9
2023-03-25 12:00:00,125.4
2023-03-25 14:00:01,118.0
2023-03-25 15:00:00,112.0
2023-03-25 18:00:00,123.8
2023-03-25 19:00:01,125.8
2023-03-25 20:00:00,119.1
2023-03-25 21:00:00,125.0
2023-03-25 22:00:01,88.8
2023-03-25 23:00:00,108.7
2023-03-26 00:00:00,102.6
2023-03-26 01:00:01,115.6
2023-03-26 02:00:00,96.7
2023-03-26 03:00:00,99.0
2023-03-26 04:00:00,119.7
2023-03-26 05:00:00,118.6
2023-03-26 06:00:01,107.2
2023-03-26 07:00:00,89.6
2023-03-26 08:00:00,105.4
2023-03-26 09:00:01,95.9
2023-03-26 10:00:00,91.6
2023-03-26 11:00:00,124.5
2023-03-26 12:00:00,113.1
2023-03-26 13:00:00,166.3
2023-03-26 14:00:00,126.7
2023-03-26 15:00:00,93.3
2023-03-26 16:00:00,114.4
2023-03-26 17:00:01,113.2
2023-03-26 19:00:00,130.9
2023-03-26 20:00:01,116.2
2023-03-26 21:00:00,150.8
2023-03-26 22:00:00,124.9
2023-03-26 23:00:00,107.9
2023-03-27 00:00:00,129.1
