time,value
2022-12-24 14:41:13,75.97
2022-12-24 21:20:00,76.8
2022-12-24 21:24:16,76.55
2022-12-24 21:36:13,75.71
2022-12-27 17:00:00,81.78
2022-12-27 18:00:00,70.8
2022-12-27 19:00:01,71.85
2022-12-27 20:00:00,75.82
2022-12-27 21:00:00,80.81
2022-12-27 22:00:01,77.37
2022-12-27 23:00:00,83.01
2022-12-28 00:00:00,76.45
2022-12-28 01:00:00,77.51
2022-12-28 02:00:01,83.13
2022-12-28 03:00:00,84.8
2022-12-28 05:00:00,80.03
2022-12-28 06:00:00,82.39
2022-12-28 07:00:00,76.12
2022-12-28 08:00:00,83.4
2022-12-28 09:00:00,84.73
2022-12-28 10:00:00,80.59
2022-12-28 11:00:00,78.0
2022-12-28 12:00:01,78.66
2022-12-28 13:00:00,76.35
2022-12-28 14:00:00,81.22
2022-12-28 15:00:00,78.06
2022-12-28 16:00:01,79.32
2022-12-28 17:00:00,76.42
2022-12-28 18:00:00,73.61
2022-12-28 19:00:00,81.66
2022-12-28 20:00:00,70.25
2022-12-28 21:00:01,83.69
2022-12-28 22:00:00,82.39
2022-12-28 23:00:00,83.47
2022-12-29 00:00:00,76.86
2022-12-29 01:00:00,77.03
2022-12-29 02:00:00,78.96
2022-12-29 03:00:00,73.55
2022-12-29 04:00:00,77.44
2022-12-29 05:00:01,81.72
2022-12-29 06:00:00,74.64
2022-12-29 07:00:01,84.73
2022-12-29 09:00:00,83.99
2022-12-29 10:00:00,82.87
2022-12-29 13:00:00,79.55
2022-12-29 15:00:00,83.08
2022-12-29 16:00:00,84.42
2022-12-29 17:00:00,80.18
2022-12-29 18:00:01,80.06
2022-12-29 19:00:00,79.65
2022-12-29 20:00:00,79.41
2022-12-29 21:00:00,83.25
2022-12-29 22:00:00,75.97
2022-12-29 23:00:01,82.6
2022-12-30 00:00:00,85.04
2022-12-30 01:00:00,83.33
2022-12-30 05:00:00,82.78
2022-12-30 06:00:00,77.89
2022-12-30 07:00:00,75.69
2022-12-30 08:00:00,71.96
2022-12-30 09:00:00,81.27
2022-12-30 10:00:01,77.52
2022-12-30 11:00:01,78.56
2022-12-30 12:00:00,81.17
2022-12-30 13:00:00,86.84
2022-12-30 14:00:01,80.59
2022-12-30 15:00:00,78.45
2022-12-30 16:00:00,80.32
2022-12-30 18:00:00,82.35
2022-12-30 19:00:01,83.02
2022-12-30 20:00:00,80.27
2022-12-30 21:00:00,74.84
2022-12-30 22:00:00,81.33
2022-12-30 23:00:00,74.62
2022-12-31 01:00:01,75.26
2022-12-31 02:00:00,82.05
2022-12-31 03:00:00,74.82
2022-12-31 04:00:01,85.48
2022-12-31 05:00:00,82.2
2022-12-31 06:00:00,76.81
2022-12-31 07:00:01,83.34
2022-12-31 08:00:00,79.41
2022-12-31 09:00:00,74.28
2022-12-31 10:00:00,78.28
2022-12-31 11:00:00,74.89
2022-12-31 12:00:00,82.69
2022-12-31 13:00:00,77.8
2022-12-31 14:00:00,80.86
2022-12-31 15:00:01,73.95
2022-12-31 16:00:00,77.64
2022-12-31 17:00:00,79.38
2022-12-31 18:00:01,82.93
2022-12-31 19:00:00,80.49
2022-12-31 20:00:01,73.77
2022-12-31 21:00:00,83.42
2022-12-31 22:00:01,77.94
2023-01-01 00:00:01,79.02
2023-01-01 01:00:00,86.32
2023-01-01 02:00:00,83.05
2023-01-01 03:00:00,79.5
2023-01-01 05:00:00,72.69
2023-01-01 06:00:00,82.89
2023-01-01 07:00:00,76.14
2023-01-01 08:00:01,77.81
2023-01-01 09:00:01,81.74
2023-01-01 10:00:00,77.12
2023-01-01 11:00:00,83.88
2023-01-01 12:00:00,78.77
2023-01-01 13:00:00,82.49
2023-01-01 15:00:00,75.52
2023-01-01 16:00:01,76.08
2023-01-01 17:00:00,74.26
2023-01-01 18:00:00,82.85
2023-01-01 20:00:01,80.01
2023-01-01 21:00:00,83.32
2023-01-01 22:00:00,84.34
2023-01-01 23:00:00,84.1
2023-01-02 00:00:00,77.8
2023-01-02 01:00:00,76.13
2023-01-02 02:00:00,85.38
2023-01-02 03:00:00,71.42
2023-01-02 05:00:00,69.61
2023-01-02 06:00:00,74.29
2023-01-02 07:00:00,82.41
2023-01-02 08:00:00,85.15
2023-01-02 09:00:00,76.65
2023-01-02 11:00:01,72.38
2023-01-02 12:00:00,82.5
2023-01-02 13:00:00,79.2
2023-01-02 14:00:00,79.39
2023-01-02 15:00:00,82.66
2023-01-02 16:00:00,83.5
2023-01-02 17:00:00,78.01
2023-01-02 18:00:01,81.76
2023-01-02 19:00:00,78.26
2023-01-02 20:00:00,80.77
2023-01-02 21:00:01,75.9
2023-01-02 22:00:01,77.19
2023-01-02 23:00:00,72.61
2023-01-03 00:00:00,80.2
2023-01-03 01:00:01,78.6
2023-01-03 02:00:00,79.14
2023-01-03 03:00:00,76.69
2023-01-03 04:00:01,89.53
2023-01-03 05:00:00,75.47
2023-01-03 06:00:00,86.85
2023-01-03 07:00:00,81.42
2023-01-03 08:00:01,86.49
2023-01-03 09:00:01,82.05
2023-01-03 10:00:00,81.99
2023-01-03 11:00:00,79.64
2023-01-03 12:00:01,79.29
2023-01-03 13:00:01,84.22
2023-01-03 14:00:01,78.75
