time,value
2022-12-24 14:41:13,506.6
2022-12-24 21:20:00,495.7
2022-12-24 21:24:16,506.3
2022-12-24 21:36:13,505.3
2022-12-27 17:00:00,501.4
2022-12-27 18:00:00,504.3
2022-12-27 19:00:01,502.4
2022-12-27 20:00:00,488.2
2022-12-27 21:00:00,506.4
2022-12-27 22:00:01,502.5
2022-12-27 23:00:00,496.7
2022-12-28 00:00:00,498.2
2022-12-28 01:00:00,509.5
2022-12-28 02:00:01,489.3
2022-12-28 03:00:00,489.4
2022-12-28 05:00:00,510.7
2022-12-28 06:00:00,502.3
2022-12-28 07:00:00,515.8
2022-12-28 08:00:00,506.9
2022-12-28 09:00:00,494.9
2022-12-28 10:00:00,492.3
2022-12-28 11:00:00,507.0
2022-12-28 12:00:01,510.7
2022-12-28 13:00:00,498.2
2022-12-28 14:00:00,503.8
2022-12-28 15:00:00,512.0
2022-12-28 16:00:01,491.5
2022-12-28 17:00:00,506.4
2022-12-28 18:00:00,499.8
2022-12-28 19:00:00,510.0
2022-12-28 20:00:00,505.6
2022-12-28 21:00:01,499.1
2022-12-28 22:00:00,499.2
2022-12-28 23:00:00,504.3
2022-12-29 00:00:00,518.8
2022-12-29 01:00:00,517.5
2022-12-29 02:00:00,482.8
2022-12-29 03:00:00,492.0
2022-12-29 04:00:00,507.7
2022-12-29 05:00:01,504.0
2022-12-29 06:00:00,502.0
2022-12-29 07:00:01,486.1
2022-12-29 09:00:00,494.7
2022-12-29 10:00:00,512.6
2022-12-29 13:00:00,486.5
2022-12-29 15:00:00,507.5
2022-12-29 16:00:00,514.8
2022-12-29 17:00:00,507.6
2022-12-29 18:00:01,511.5
2022-12-29 19:00:00,490.6
2022-12-29 20:00:00,507.5
2022-12-29 21:00:00,498.4
2022-12-29 22:00:00,492.0
2022-12-29 23:00:01,507.4
2022-12-30 00:00:00,490.8
2022-12-30 01:00:00,478.7
2022-12-30 05:00:00,495.6
2022-12-30 06:00:00,511.8
2022-12-30 07:00:00,500.6
2022-12-30 08:00:00,482.7
2022-12-30 09:00:00,486.5
2022-12-30 10:00:01,498.7
2022-12-30 11:00:01,493.1
2022-12-30 12:00:00,489.0
2022-12-30 13:00:00,491.6
2022-12-30 14:00:01,486.3
2022-12-30 15:00:00,500.6
2022-12-30 16:00:00,495.4
2022-12-30 18:00:00,508.3
2022-12-30 19:00:01,497.1
2022-12-30 20:00:00,490.9
2022-12-30 21:00:00,506.7
2022-12-30 22:00:00,500.2
2022-12-30 23:00:00,498.1
2022-12-31 01:00:01,522.9
2022-12-31 02:00:00,526.4
2022-12-31 03:00:00,493.9
2022-12-31 04:00:01,495.7
2022-12-31 05:00:00,494.7
2022-12-31 06:00:00,500.0
2022-12-31 07:00:01,493.2
2022-12-31 08:00:00,496.9
2022-12-31 09:00:00,519.3
2022-12-31 10:00:00,497.7
2022-12-31 11:00:00,480.2
2022-12-31 12:00:00,499.9
2022-12-31 13:00:00,508.5
2022-12-31 14:00:00,491.5
2022-12-31 15:00:01,515.5
2022-12-31 16:00:00,505.6
2022-12-31 17:00:00,486.1
2022-12-31 18:00:01,510.1
2022-12-31 19:00:00,484.7
2022-12-31 20:00:01,502.4
2022-12-31 21:00:00,488.2
2022-12-31 22:00:01,491.2
2023-01-01 00:00:01,512.0
2023-01-01 01:00:00,510.6
2023-01-01 02:00:00,503.5
2023-01-01 03:00:00,493.9
2023-01-01 05:00:00,493.6
2023-01-01 06:00:00,493.5
2023-01-01 07:00:00,499.2
2023-01-01 08:00:01,495.2
2023-01-01 09:00:01,505.9
2023-01-01 10:00:00,492.6
2023-01-01 11:00:00,503.8
2023-01-01 12:00:00,482.0
2023-01-01 13:00:00,496.3
2023-01-01 15:00:00,498.7
2023-01-01 16:00:01,478.8
2023-01-01 17:00:00,503.0
2023-01-01 18:00:00,502.4
2023-01-01 20:00:01,468.7
2023-01-01 21:00:00,482.1
2023-01-01 22:00:00,497.9
2023-01-01 23:00:00,518.6
2023-01-02 00:00:00,507.2
2023-01-02 01:00:00,518.1
2023-01-02 02:00:00,503.4
2023-01-02 03:00:00,522.4
2023-01-02 05:00:00,501.1
2023-01-02 06:00:00,493.7
2023-01-02 07:00:00,498.1
2023-01-02 08:00:00,499.4
2023-01-02 09:00:00,518.1
2023-01-02 11:00:01,503.3
2023-01-02 12:00:00,496.4
2023-01-02 13:00:00,476.8
2023-01-02 14:00:00,506.1
2023-01-02 15:00:00,498.4
2023-01-02 16:00:00,511.5
2023-01-02 17:00:00,499.5
2023-01-02 18:00:01,488.1
2023-01-02 19:00:00,507.4
2023-01-02 20:00:00,505.4
2023-01-02 21:00:01,498.8
2023-01-02 22:00:01,508.4
2023-01-02 23:00:00,514.1
2023-01-03 00:00:00,497.3
2023-01-03 01:00:01,495.6
2023-01-03 02:00:00,499.2
2023-01-03 03:00:00,480.6
2023-01-03 04:00:01,493.3
2023-01-03 05:00:00,494.7
2023-01-03 06:00:00,503.6
2023-01-03 07:00:00,508.2
2023-01-03 08:00:01,510.8
2023-01-03 09:00:01,485.0
2023-01-03 10:00:00,489.0
2023-01-03 11:00:00,492.0
2023-01-03 12:00:01,491.2
2023-01-03 13:00:01,488.3
2023-01-03 14:00:01,502.1
2023-01-03 15:00:00,481.5
2023-01-03 16:00:00,495.5
2023-01-03 17:00:00,492.4
2023-01-03 18:00:00,499.1
2023-01-03 19:00:00,502.1
2023-01-03 20:00:00,502.5
2023-01-03 21:00:00,504.3
2023-01-03 22:00:00,509.4
2023-01-03 23:00:00,500.3
2023-01-04 00:00:00,486.5
2023-01-04 01:00:01,499.3
2023-01-04 02:00:01,482.0
2023-01-04 03:00:00,503.2
2023-01-04 04:00:00,490.7
2023-01-04 06:00:00,515.3
2023-01-04 07:00:00,493.1
2023-01-04 08:00:00,498.6
2023-01-04 09:00:00,497.5
2023-01-04 10:00:00,482.6
2023-01-04 11:00:01,501.2
2023-01-04 12:00:00,509.1
2023-01-04 13:00:01,496.8
2023-01-04 15:00:00,512.2
2023-01-04 16:00:00,511.5
2023-01-04 17:00:01,494.5
2023-01-04 18:00:00,490.1
2023-01-04 19:00:00,489.7
2023-01-04 20:00:00,489.7
2023-01-04 21:00:00,486.2
2023-01-04 22:00:00,493.9
2023-01-04 23:00:01,486.6
2023-01-05 00:00:00,497.2
2023-01-05 01:00:00,493.4
2023-01-05 02:00:00,501.7
2023-01-05 03:00:00,489.3
2023-01-05 04:00:00,492.4
2023-01-05 05:00:00,517.2
2023-01-05 06:00:00,501.2
2023-01-05 07:00:01,499.7
2023-01-05 08:00:00,479.5
2023-01-05 09:00:00,501.2
2023-01-05 10:00:00,510.5
2023-01-05 11:00:00,489.6
2023-01-05 13:00:00,500.0
2023-01-05 14:00:00,498.2
2023-01-05 16:00:00,510.1
2023-01-05 17:00:00,490.2
2023-01-05 18:00:01,516.0
2023-01-05 19:00:00,488.6
2023-01-05 20:00:00,488.9
2023-01-05 21:00:01,483.9
2023-01-05 22:00:00,495.3
2023-01-05 23:00:00,502.7
2023-01-06 00:00:01,496.1
2023-01-06 01:00:00,500.0
2023-01-06 03:00:00,508.2
2023-01-06 04:00:00,500.7
2023-01-06 05:00:00,491.8
2023-01-06 06:00:01,520.9
2023-01-06 07:00:00,489.2
2023-01-06 08:00:00,505.8
2023-01-06 09:00:01,485.9
2023-01-06 11:00:00,488.6
2023-01-06 12:00:00,508.6
2023-01-06 13:00:00,503.2
2023-01-06 15:00:00,518.2
2023-01-06 16:00:01,518.1
2023-01-06 17:00:00,490.9
2023-01-06 18:00:00,489.1
2023-01-06 20:00:00,504.6
2023-01-06 21:00:00,493.7
2023-01-06 22:00:00,504.6
2023-01-06 23:00:00,490.8
2023-01-07 00:00:00,498.5
2023-01-07 01:00:01,503.0
2023-01-07 02:00:00,511.6
2023-01-07 03:00:00,496.6
2023-01-07 04:00:00,489.8
2023-01-07 05:00:00,503.5
2023-01-07 06:00:00,483.3
2023-01-07 07:00:00,515.2
2023-01-07 08:00:01,491.5
2023-01-07 09:00:00,501.5
2023-01-07 10:00:00,498.3
2023-01-07 11:00:00,494.0
2023-01-07 12:00:00,490.9
2023-01-07 13:00:01,503.9
2023-01-07 14:00:00,499.1
2023-01-07 15:00:00,503.4
2023-01-07 16:00:01,497.6
2023-01-07 17:00:00,505.4
2023-01-07 18:00:00,494.7
2023-01-07 19:00:01,494.3
2023-01-07 20:00:00,527.2
2023-01-07 21:00:00,493.4
2023-01-07 23:00:00,520.3
2023-01-08 00:00:01,502.4
2023-01-08 02:00:00,494.9
2023-01-08 03:00:01,504.6
2023-01-08 04:00:00,510.5
2023-01-08 05:00:00,492.5
2023-01-08 06:00:01,507.9
2023-01-08 07:00:00,499.4
2023-01-08 08:00:00,496.7
2023-01-08 09:00:01,497.1
2023-01-08 10:00:00,498.6
2023-01-08 11:00:00,508.0
2023-01-08 13:00:00,494.1
2023-01-08 14:00:00,496.0
2023-01-08 15:00:00,508.1
2023-01-08 16:00:00,489.4
2023-01-08 17:00:00,500.4
2023-01-08 18:00:00,518.8
2023-01-08 19:00:00,499.0
2023-01-08 20:00:00,493.6
2023-01-08 21:00:00,499.0
2023-01-08 22:00:01,499.9
2023-01-08 23:00:00,501.7
2023-01-09 00:00:01,502.4
2023-01-09 01:00:01,498.1
2023-01-09 03:00:01,501.4
2023-01-09 05:00:01,487.6
2023-01-09 06:00:00,507.2
2023-01-09 07:00:00,485.9
2023-01-09 08:00:00,496.3
2023-01-09 09:00:00,512.3
2023-01-09 10:00:01,493.3
2023-01-09 11:00:00,509.8
2023-01-09 12:00:01,500.8
2023-01-09 13:00:01,504.1
2023-01-09 15:00:00,508.2
2023-01-09 16:00:00,498.0
2023-01-09 17:00:00,485.3
2023-01-09 18:00:00,496.9
2023-01-09 20:00:00,478.9
2023-01-09 21:00:00,492.3
2023-01-09 22:00:00,518.8
2023-01-09 23:00:00,486.7
2023-01-10 00:00:01,509.3
2023-01-10 01:00:00,498.3
2023-01-10 02:00:00,499.1
2023-01-10 03:00:00,497.5
2023-01-10 04:00:00,486.6
2023-01-10 05:00:00,499.1
2023-01-10 06:00:01,497.2
2023-01-10 07:00:00,503.3
2023-01-10 08:00:00,497.2
2023-01-10 09:00:00,490.4
2023-01-10 10:00:01,502.7
2023-01-10 12:00:00,497.7
2023-01-10 13:00:00,503.8
2023-01-10 14:00:00,497.0
2023-01-10 15:00:01,497.2
2023-01-10 16:00:00,512.4
2023-01-10 17:00:00,519.0
2023-01-10 18:00:00,482.6
2023-01-10 19:00:00,498.7
2023-01-10 20:00:00,513.2
2023-01-10 21:00:01,507.2
2023-01-10 22:00:01,502.2
2023-01-10 23:00:00,501.5
2023-01-11 00:00:00,505.3
2023-01-11 01:00:00,482.8
2023-01-11 02:00:00,502.9
2023-01-11 03:00:01,500.0
2023-01-11 04:00:00,478.0
2023-01-11 05:00:00,493.0
2023-01-11 06:00:00,506.3
2023-01-11 07:00:00,499.9
2023-01-11 09:00:00,506.8
2023-01-11 10:00:01,500.6
2023-01-11 11:00:00,504.7
2023-01-11 12:00:00,500.2
2023-01-11 13:00:00,505.4
2023-01-11 14:00:01,503.6
2023-01-11 15:00:00,513.3
2023-01-11 16:00:00,505.2
2023-01-11 17:00:01,496.1
2023-01-11 18:00:00,493.1
2023-01-11 19:00:00,508.1
2023-01-11 20:00:00,511.9
2023-01-11 21:00:00,497.3
2023-01-11 22:00:00,505.1
2023-01-11 23:00:00,495.8
2023-01-12 00:00:00,510.3
2023-01-12 01:00:01,482.9
2023-01-12 02:00:00,483.0
2023-01-12 03:00:00,501.9
2023-01-12 04:00:01,492.6
2023-01-12 05:00:00,498.2
2023-01-12 06:00:00,499.8
2023-01-12 07:00:00,501.8
2023-01-12 08:00:00,518.2
2023-01-12 10:00:00,502.6
2023-01-12 11:00:00,507.0
2023-01-12 13:00:00,512.0
2023-01-12 15:00:01,497.5
2023-01-12 17:00:00,503.1
2023-01-12 18:00:00,515.2
2023-01-12 19:00:01,490.4
2023-01-12 20:00:00,500.2
2023-01-12 22:00:00,489.3
2023-01-12 23:00:00,483.3
2023-01-13 00:00:00,501.0
2023-01-13 01:00:00,507.5
2023-01-13 02:00:00,504.0
2023-01-13 03:00:00,509.6
2023-01-13 04:00:00,510.1
2023-01-13 05:00:01,496.4
2023-01-13 06:00:00,506.9
2023-01-13 07:00:01,502.5
2023-01-13 08:00:00,492.6
2023-01-13 09:00:00,497.5
2023-01-13 10:00:01,499.5
2023-01-13 11:00:00,520.7
2023-01-13 12:00:00,507.2
2023-01-13 13:00:00,497.2
2023-01-13 14:00:00,498.5
2023-01-13 15:00:01,493.6
2023-01-13 16:00:00,498.1
2023-01-13 18:00:00,489.8
2023-01-13 19:00:00,496.8
2023-01-13 20:00:01,499.7
2023-01-13 22:00:00,497.5
2023-01-13 23:00:00,480.4
2023-01-14 00:00:00,485.8
2023-01-14 01:00:01,501.2
2023-01-14 02:00:00,510.6
2023-01-14 03:00:00,491.6
2023-01-14 04:00:00,499.7
2023-01-14 05:00:00,506.3
2023-01-14 06:00:00,484.6
2023-01-14 07:00:00,499.9
2023-01-14 08:00:00,482.5
2023-01-14 09:00:00,494.3
2023-01-14 10:00:00,480.9
2023-01-14 11:00:01,502.0
2023-01-14 12:00:00,486.7
2023-01-14 13:00:00,491.8
2023-01-14 14:00:01,502.4
2023-01-14 15:00:00,492.8
2023-01-14 16:00:00,526.2
2023-01-14 17:00:01,500.4
2023-01-14 18:00:00,502.4
2023-01-14 20:00:00,503.4
2023-01-14 21:00:00,512.2
2023-01-14 22:00:01,489.6
2023-01-14 23:00:00,494.7
2023-01-15 02:00:00,513.1
2023-01-15 03:00:01,498.1
2023-01-15 04:00:00,479.8
2023-01-15 05:00:01,490.7
2023-01-15 06:00:00,491.8
2023-01-15 07:00:00,502.7
2023-01-15 08:00:00,508.5
2023-01-15 09:00:00,500.7
2023-01-15 10:00:01,497.7
2023-01-15 12:00:00,505.6
2023-01-15 13:00:00,482.4
2023-01-15 14:00:00,486.9
2023-01-15 15:00:01,492.8
2023-01-15 16:00:01,499.4
2023-01-15 17:00:00,509.1
2023-01-15 18:00:00,488.4
2023-01-15 19:00:00,522.1
2023-01-15 20:00:00,501.9
2023-01-15 21:00:00,499.2
2023-01-15 22:00:01,485.5
2023-01-16 01:00:00,476.6
2023-01-16 02:00:00,504.7
2023-01-16 03:00:01,499.5
2023-01-16 04:00:00,507.4
2023-01-16 05:00:00,508.0
2023-01-16 06:00:00,504.8
2023-01-16 07:00:00,505.3
2023-01-16 08:00:01,507.1
2023-01-16 10:00:01,511.7
2023-01-16 11:00:00,519.6
2023-01-16 12:00:00,499.7
2023-01-16 13:00:01,491.8
2023-01-16 14:00:00,504.8
2023-01-16 15:00:00,507.5
2023-01-16 17:00:01,509.8
2023-01-16 18:00:00,499.9
2023-01-16 19:00:00,494.4
2023-01-16 20:00:00,485.3
2023-01-16 21:00:00,493.2
2023-01-16 22:00:01,518.6
2023-01-16 23:00:00,490.3
2023-01-17 00:00:00,500.1
2023-01-17 01:00:01,493.7
2023-01-17 02:00:00,501.2
2023-01-17 03:00:00,495.0
2023-01-17 04:00:00,495.5
2023-01-17 05:00:00,491.2
2023-01-17 06:00:01,494.4
2023-01-17 07:00:00,499.6
2023-01-17 08:00:00,494.2
2023-01-17 09:00:00,495.1
2023-01-17 10:00:00,502.0
2023-01-17 11:00:00,494.7
2023-01-17 12:00:00,504.8
2023-01-17 13:00:00,500.2
2023-01-17 14:00:00,500.7
2023-01-17 16:00:00,505.3
2023-01-17 17:00:00,514.1
2023-01-17 18:00:00,506.7
2023-01-17 19:00:00,496.2
2023-01-17 21:00:00,503.7
2023-01-17 22:00:00,495.4
2023-01-17 23:00:00,496.3
2023-01-18 00:00:00,499.7
2023-03-16 16:00:01,505.3
2023-03-16 17:00:00,505.7
2023-03-16 18:00:00,504.4
2023-03-16 19:00:01,510.5
2023-03-16 20:00:00,480.0
2023-03-16 21:00:00,512.8
2023-03-16 23:00:00,501.0
2023-03-17 00:00:01,491.3
2023-03-17 01:00:00,507.4
2023-03-17 02:00:00,496.7
2023-03-17 03:00:00,490.0
2023-03-17 04:00:00,516.8
2023-03-17 05:00:00,499.5
2023-03-17 06:00:00,503.3
2023-03-17 07:00:01,479.9
2023-03-17 08:00:00,500.3
2023-03-17 09:00:00,506.8
