time,value
2022-12-24 14:41:13,50.7
2022-12-24 21:20:00,63.6
2022-12-24 21:24:16,39.22
2022-12-24 21:36:13,69.81
2022-12-27 17:00:00,60.76
2022-12-27 18:00:00,57.11
2022-12-27 19:00:01,55.95
2022-12-27 20:00:00,41.02
2022-12-27 21:00:00,53.17
2022-12-27 22:00:01,46.1
2022-12-27 23:00:00,46.99
2022-12-28 00:00:00,67.68
2022-12-28 01:00:00,40.94
2022-12-28 02:00:01,55.63
2022-12-28 03:00:00,53.23
2022-12-28 05:00:00,47.22
2022-12-28 06:00:00,52.1
2022-12-28 07:00:00,58.56
2022-12-28 08:00:00,43.92
2022-12-28 09:00:00,57.83
2022-12-28 10:00:00,51.3
2022-12-28 11:00:00,57.96
2022-12-28 12:00:01,38.16
2022-12-28 13:00:00,53.97
2022-12-28 14:00:00,47.14
2022-12-28 15:00:00,43.43
2022-12-28 16:00:01,42.8
2022-12-28 17:00:00,78.22
2022-12-28 18:00:00,53.72
2022-12-28 19:00:00,67.24
2022-12-28 20:00:00,51.92
2022-12-28 21:00:01,60.79
2022-12-28 22:00:00,49.44
2022-12-28 23:00:00,55.55
2022-12-29 00:00:00,51.39
2022-12-29 01:00:00,42.26
2022-12-29 02:00:00,49.45
2022-12-29 03:00:00,30.34
2022-12-29 04:00:00,45.12
2022-12-29 05:00:01,34.92
2022-12-29 06:00:00,51.86
2022-12-29 07:00:01,59.89
2022-12-29 09:00:00,72.62
2022-12-29 10:00:00,63.71
2022-12-29 13:00:00,32.37
2022-12-29 15:00:00,31.39
2022-12-29 16:00:00,59.05
2022-12-29 17:00:00,53.59
2022-12-29 18:00:01,57.12
2022-12-29 19:00:00,64.04
2022-12-29 20:00:00,69.11
2022-12-29 21:00:00,61.49
2022-12-29 22:00:00,64.67
2022-12-29 23:00:01,58.49
2022-12-30 00:00:00,46.92
2022-12-30 01:00:00,54.97
2022-12-30 05:00:00,60.83
2022-12-30 06:00:00,52.04
2022-12-30 07:00:00,52.22
2022-12-30 08:00:00,60.86
2022-12-30 09:00:00,59.34
2022-12-30 10:00:01,45.72
2022-12-30 11:00:01,48.61
2022-12-30 12:00:00,42.39
2022-12-30 13:00:00,54.11
2022-12-30 14:00:01,63.12
2022-12-30 15:00:00,41.73
2022-12-30 16:00:00,56.77
2022-12-30 18:00:00,47.81
2022-12-30 19:00:01,52.77
2022-12-30 20:00:00,46.33
2022-12-30 21:00:00,49.51
2022-12-30 22:00:00,66.88
2022-12-30 23:00:00,50.59
2022-12-31 01:00:01,61.2
2022-12-31 02:00:00,63.97
2022-12-31 03:00:00,68.18
2022-12-31 04:00:01,44.97
2022-12-31 05:00:00,47.34
2022-12-31 06:00:00,39.75
2022-12-31 07:00:01,62.78
2022-12-31 08:00:00,49.05
2022-12-31 09:00:00,65.72
2022-12-31 10:00:00,61.3
2022-12-31 11:00:00,46.92
2022-12-31 12:00:00,26.67
2022-12-31 13:00:00,54.4
2022-12-31 14:00:00,55.85
2022-12-31 15:00:01,58.22
2022-12-31 16:00:00,53.99
2022-12-31 17:00:00,49.01
2022-12-31 18:00:01,63.56
2022-12-31 19:00:00,56.21
2022-12-31 20:00:01,58.12
2022-12-31 21:00:00,50.18
2022-12-31 22:00:01,39.65
2023-01-01 00:00:01,68.4
2023-01-01 01:00:00,59.79
2023-01-01 02:00:00,51.82
2023-01-01 03:00:00,54.44
2023-01-01 05:00:00,55.79
2023-01-01 06:00:00,44.86
2023-01-01 07:00:00,52.49
2023-01-01 08:00:01,64.05
2023-01-01 09:00:01,38.25
2023-01-01 10:00:00,32.8
2023-01-01 11:00:00,50.7
2023-01-01 12:00:00,48.14
2023-01-01 13:00:00,36.14
2023-01-01 15:00:00,49.28
2023-01-01 16:00:01,38.79
2023-01-01 17:00:00,63.07
2023-01-01 18:00:00,49.68
2023-01-01 20:00:01,53.81
2023-01-01 21:00:00,59.65
2023-01-01 22:00:00,51.55
2023-01-01 23:00:00,42.06
2023-01-02 00:00:00,45.52
2023-01-02 01:00:00,51.28
2023-01-02 02:00:00,43.06
2023-01-02 03:00:00,51.1
2023-01-02 05:00:00,55.58
2023-01-02 06:00:00,34.1
2023-01-02 07:00:00,57.94
2023-01-02 08:00:00,72.29
2023-01-02 09:00:00,48.0
2023-01-02 11:00:01,36.86
2023-01-02 12:00:00,45.58
2023-01-02 13:00:00,53.05
2023-01-02 14:00:00,59.13
2023-01-02 15:00:00,64.4
2023-01-02 16:00:00,42.82
2023-01-02 17:00:00,43.26
2023-01-02 18:00:01,31.48
2023-01-02 19:00:00,44.47
2023-01-02 20:00:00,46.93
2023-01-02 21:00:01,49.49
2023-01-02 22:00:01,52.96
2023-01-02 23:00:00,53.13
2023-01-03 00:00:00,44.52
2023-01-03 01:00:01,49.35
2023-01-03 02:00:00,42.11
2023-01-03 03:00:00,47.57
2023-01-03 04:00:01,70.5
2023-01-03 05:00:00,60.04
2023-01-03 06:00:00,56.03
2023-01-03 07:00:00,58.08
2023-01-03 08:00:01,54.7
2023-01-03 09:00:01,42.66
2023-01-03 10:00:00,47.97
2023-01-03 11:00:00,57.88
2023-01-03 12:00:01,58.09
2023-01-03 13:00:01,54.0
2023-01-03 14:00:01,65.72
2023-01-03 15:00:00,32.08
2023-01-03 16:00:00,49.56
2023-01-03 17:00:00,42.84
2023-01-03 18:00:00,44.8
2023-01-03 19:00:00,43.64
2023-01-03 20:00:00,72.72
2023-01-03 21:00:00,75.41
2023-01-03 22:00:00,50.91
2023-01-03 23:00:00,40.83
2023-01-04 00:00:00,37.71
2023-01-04 01:00:01,56.41
2023-01-04 02:00:01,53.6
2023-01-04 03:00:00,53.78
2023-01-04 04:00:00,60.4
2023-01-04 06:00:00,46.57
2023-01-04 07:00:00,55.09
2023-01-04 08:00:00,48.67
2023-01-04 09:00:00,48.87
2023-01-04 10:00:00,47.6
2023-01-04 11:00:01,62.4
2023-01-04 12:00:00,49.45
2023-01-04 13:00:01,42.33
2023-01-04 15:00:00,69.69
2023-01-04 16:00:00,61.09
2023-01-04 17:00:01,44.87
2023-01-04 18:00:00,66.53
2023-01-04 19:00:00,68.81
2023-01-04 20:00:00,52.98
2023-01-04 21:00:00,46.1
2023-01-04 22:00:00,58.58
2023-01-04 23:00:01,43.56
2023-01-05 00:00:00,62.43
2023-01-05 01:00:00,54.08
2023-01-05 02:00:00,56.17
2023-01-05 03:00:00,63.86
2023-01-05 04:00:00,48.03
2023-01-05 05:00:00,36.43
2023-01-05 06:00:00,65.37
2023-01-05 07:00:01,26.49
2023-01-05 08:00:00,57.44
2023-01-05 09:00:00,31.87
2023-01-05 10:00:00,58.7
2023-01-05 11:00:00,61.98
2023-01-05 13:00:00,60.95
2023-01-05 14:00:00,61.66
2023-01-05 16:00:00,70.27
2023-01-05 17:00:00,41.14
2023-01-05 18:00:01,56.16
2023-01-05 19:00:00,45.26
2023-01-05 20:00:00,56.53
2023-01-05 21:00:01,69.56
2023-01-05 22:00:00,60.43
2023-01-05 23:00:00,67.69
2023-01-06 00:00:01,54.6
2023-01-06 01:00:00,45.45
2023-01-06 03:00:00,42.99
2023-01-06 04:00:00,48.73
2023-01-06 05:00:00,37.84
2023-01-06 06:00:01,44.57
2023-01-06 07:00:00,47.62
2023-01-06 08:00:00,57.96
2023-01-06 09:00:01,59.44
2023-01-06 11:00:00,50.42
2023-01-06 12:00:00,31.45
2023-01-06 13:00:00,38.82
2023-01-06 15:00:00,60.73
2023-01-06 16:00:01,31.44
2023-01-06 17:00:00,50.85
2023-01-06 18:00:00,68.77
2023-01-06 20:00:00,60.69
2023-01-06 21:00:00,52.36
2023-01-06 22:00:00,61.03
2023-01-06 23:00:00,62.67
2023-01-07 00:00:00,49.2
2023-01-07 01:00:01,51.8
