time,value
2022-12-24 14:41:13,20.83
2022-12-24 21:20:00,23.93
2022-12-24 21:24:16,18.24
2022-12-24 21:36:13,24.84
2022-12-27 17:00:00,20.17
2022-12-27 18:00:00,21.85
2022-12-27 19:00:01,18.94
2022-12-27 20:00:00,24.34
2022-12-27 21:00:00,23.16
2022-12-27 22:00:01,23.21
2022-12-27 23:00:00,20.43
2022-12-28 00:00:00,21.39
2022-12-28 01:00:00,24.72
2022-12-28 02:00:01,22.72
2022-12-28 03:00:00,21.09
2022-12-28 05:00:00,22.91
2022-12-28 06:00:00,24.76
2022-12-28 07:00:00,21.43
2022-12-28 08:00:00,24.08
2022-12-28 09:00:00,21.69
2022-12-28 10:00:00,19.19
2022-12-28 11:00:00,22.18
2022-12-28 12:00:01,19.72
2022-12-28 13:00:00,23.85
2022-12-28 14:00:00,22.28
2022-12-28 15:00:00,20.81
2022-12-28 16:00:01,22.18
2022-12-28 17:00:00,22.4
2022-12-28 18:00:00,23.02
2022-12-28 19:00:00,21.81
2022-12-28 20:00:00,22.82
2022-12-28 21:00:01,21.35
2022-12-28 22:00:00,23.33
2022-12-28 23:00:00,20.57
2022-12-29 00:00:00,21.8
2022-12-29 01:00:00,22.17
2022-12-29 02:00:00,24.88
2022-12-29 03:00:00,20.93
2022-12-29 04:00:00,20.86
2022-12-29 05:00:01,23.06
2022-12-29 06:00:00,21.38
2022-12-29 07:00:01,19.63
2022-12-29 09:00:00,21.65
2022-12-29 10:00:00,20.49
2022-12-29 13:00:00,25.32
2022-12-29 15:00:00,22.48
2022-12-29 16:00:00,23.91
2022-12-29 17:00:00,26.74
2022-12-29 18:00:01,24.32
2022-12-29 19:00:00,23.59
2022-12-29 20:00:00,20.05
2022-12-29 21:00:00,23.88
2022-12-29 22:00:00,20.11
2022-12-29 23:00:01,22.46
2022-12-30 00:00:00,22.78
2022-12-30 01:00:00,22.17
2022-12-30 05:00:00,22.9
2022-12-30 06:00:00,18.79
2022-12-30 07:00:00,20.45
2022-12-30 08:00:00,22.41
2022-12-30 09:00:00,15.91
2022-12-30 10:00:01,19.79
2022-12-30 11:00:01,26.02
2022-12-30 12:00:00,21.75
2022-12-30 13:00:00,21.96
2022-12-30 14:00:01,23.35
2022-12-30 15:00:00,23.06
2022-12-30 16:00:00,20.73
2022-12-30 18:00:00,20.76
2022-12-30 19:00:01,21.03
2022-12-30 20:00:00,20.37
2022-12-30 21:00:00,23.28
2022-12-30 22:00:00,21.65
2022-12-30 23:00:00,24.18
2022-12-31 01:00:01,23.65
2022-12-31 02:00:00,22.0
2022-12-31 03:00:00,17.91
2022-12-31 04:00:01,21.57
2022-12-31 05:00:00,21.26
2022-12-31 06:00:00,21.47
2022-12-31 07:00:01,22.82
2022-12-31 08:00:00,19.32
2022-12-31 09:00:00,21.09
2022-12-31 10:00:00,21.03
2022-12-31 11:00:00,24.29
2022-12-31 12:00:00,22.74
2022-12-31 13:00:00,19.13
2022-12-31 14:00:00,24.82
2022-12-31 15:00:01,24.03
2022-12-31 16:00:00,22.42
2022-12-31 17:00:00,20.76
2022-12-31 18:00:01,22.11
2022-12-31 19:00:00,14.83
2022-12-31 20:00:01,22.84
2022-12-31 21:00:00,23.15
2022-12-31 22:00:01,23.14
2023-01-01 00:00:01,23.88
2023-01-01 01:00:00,23.01
2023-01-01 02:00:00,18.61
2023-01-01 03:00:00,23.43
2023-01-01 05:00:00,20.53
2023-01-01 06:00:00,21.22
2023-01-01 07:00:00,23.59
2023-01-01 08:00:01,19.87
2023-01-01 09:00:01,23.33
2023-01-01 10:00:00,22.14
2023-01-01 11:00:00,21.09
2023-01-01 12:00:00,19.99
2023-01-01 13:00:00,18.26
2023-01-01 15:00:00,22.78
2023-01-01 16:00:01,19.94
