time,value
2022-12-24 21:20:21,5.672
2022-12-24 21:24:17,5.763
2022-12-24 21:36:15,5.748
2022-12-27 17:00:02,5.435
2022-12-27 19:00:02,5.726
2022-12-27 20:00:00,5.5
2022-12-27 22:00:01,5.342
2022-12-28 00:00:01,5.492
2022-12-28 01:00:02,5.505
2022-12-28 02:00:02,5.34
2022-12-28 03:00:02,5.738
2022-12-28 04:00:01,5.716
2022-12-28 05:00:01,5.786
2022-12-28 06:00:02,5.633
2022-12-28 07:00:02,5.437
2022-12-28 08:00:02,5.701
2022-12-28 09:00:03,5.702
2022-12-28 10:00:03,5.466
2022-12-28 11:00:03,5.638
2022-12-28 12:00:03,5.753
2022-12-28 13:00:02,5.852
2022-12-28 14:00:02,5.673
2022-12-28 15:00:02,5.501
2022-12-28 16:00:01,5.641
2022-12-28 17:00:02,5.699
2022-12-28 18:00:01,5.734
2022-12-28 19:00:01,5.761
2022-12-28 20:00:01,5.579
2022-12-28 21:00:03,6.024
2022-12-28 23:00:00,5.606
2022-12-29 00:00:03,5.734
2022-12-29 02:00:01,5.776
2022-12-29 03:00:02,5.725
2022-12-29 04:00:01,5.514
2022-12-29 05:00:01,5.672
2022-12-29 06:00:01,5.547
2022-12-29 07:00:03,5.638
2022-12-29 08:00:00,5.78
2022-12-29 09:00:01,5.879
2022-12-29 10:00:02,5.315
2022-12-29 11:00:00,5.379
2022-12-29 13:00:02,5.642
2022-12-29 14:00:01,5.857
2022-12-29 15:00:01,5.646
2022-12-29 16:00:00,5.639
2022-12-29 17:00:01,5.909
2022-12-29 18:00:03,5.991
2022-12-29 19:00:01,5.816
2022-12-29 20:00:02,5.676
2022-12-29 21:00:03,5.618
2022-12-29 22:00:02,5.615
2022-12-29 23:00:02,6.009
2022-12-30 00:00:02,5.504
2022-12-30 01:00:01,5.751
2022-12-30 02:00:00,5.788
2022-12-30 03:00:00,6.065
2022-12-30 04:00:01,5.9
2022-12-30 05:00:02,5.627
2022-12-30 06:00:00,5.555
2022-12-30 07:00:01,5.579
2022-12-30 08:00:01,6.313
2022-12-30 09:00:02,5.563
2022-12-30 11:00:03,5.405
2022-12-30 12:00:01,5.469
2022-12-30 13:00:02,5.577
2022-12-30 14:00:02,5.674
2022-12-30 15:00:01,5.716
2022-12-30 16:00:01,5.931
2022-12-30 17:00:00,5.664
2022-12-30 18:00:02,5.914
2022-12-30 19:00:03,5.89
2022-12-30 20:00:03,5.722
2022-12-30 21:00:03,5.863
2022-12-30 22:00:00,5.563
2022-12-30 23:00:02,5.618
2022-12-31 00:00:00,5.784
2022-12-31 02:00:02,5.6
2022-12-31 03:00:01,5.706
2022-12-31 04:00:05,5.786
2022-12-31 05:00:02,5.766
2022-12-31 06:00:00,5.891
2022-12-31 07:00:03,5.806
2022-12-31 08:00:01,5.622
2022-12-31 09:00:01,5.726
2022-12-31 10:00:02,5.637
2022-12-31 11:00:02,5.613
2022-12-31 12:00:02,5.242
2022-12-31 13:00:01,5.731
2022-12-31 14:00:01,6.02
2022-12-31 15:00:03,5.606
2022-12-31 17:00:01,5.514
2022-12-31 19:00:02,5.897
2022-12-31 20:00:03,5.765
2022-12-31 21:00:01,5.536
2022-12-31 22:00:02,5.892
2022-12-31 23:00:00,5.468
2023-01-01 00:00:02,5.685
2023-01-01 01:00:01,5.461
2023-01-01 02:00:02,5.588
2023-01-01 03:00:01,5.887
2023-01-01 04:00:00,5.595
2023-01-01 05:00:01,5.892
2023-01-01 06:00:01,5.771
2023-01-01 07:00:01,5.932
2023-01-01 08:00:03,5.877
2023-01-01 09:00:01,5.37
2023-01-01 10:00:02,5.569
2023-01-01 11:00:02,5.844
2023-01-01 12:00:02,5.055
2023-01-01 13:00:01,5.686
2023-01-01 14:00:01,5.701
2023-01-01 16:00:03,5.61
2023-01-01 17:00:02,5.788
2023-01-01 19:00:00,5.746
2023-01-01 20:00:02,5.517
2023-01-01 21:00:01,5.416
2023-01-01 22:00:01,5.655
2023-01-01 23:00:01,5.802
2023-01-02 00:00:01,5.934
2023-01-02 01:00:02,5.653
2023-01-02 02:00:01,5.307
2023-01-02 03:00:02,6.073
2023-01-02 05:00:03,5.759
2023-01-02 06:00:02,5.784
2023-01-02 07:00:01,6.033
2023-01-02 08:00:01,5.772
2023-01-02 10:00:01,5.762
2023-01-02 11:00:27,5.464
2023-01-02 12:00:02,5.593
2023-01-02 13:00:01,5.826
2023-01-02 14:00:03,5.776
2023-01-02 15:00:02,5.434
2023-01-02 16:00:03,5.384
2023-01-02 19:00:01,5.866
2023-01-02 21:00:02,5.718
2023-01-02 22:00:03,5.941
2023-01-02 23:00:03,5.911
2023-01-03 00:00:01,5.597
2023-01-03 02:00:02,5.931
2023-01-03 03:00:01,5.961
2023-01-03 04:00:03,5.431
2023-01-03 05:00:01,5.64
2023-01-03 06:00:01,5.694
2023-01-03 09:00:02,5.753
2023-01-03 10:00:01,5.793
2023-01-03 11:00:00,5.54
2023-01-03 12:00:03,5.658
2023-01-03 13:00:02,5.69
2023-01-03 14:00:23,5.569
2023-01-03 15:00:01,5.839
2023-01-03 16:00:01,5.722
2023-01-03 17:00:02,5.874
2023-01-03 18:00:01,5.746
2023-01-03 19:00:01,5.558
2023-01-03 20:00:01,5.39
2023-01-03 22:00:01,5.484
2023-01-03 23:00:02,5.48
2023-01-04 00:00:01,5.587
2023-01-04 02:00:02,5.471
2023-01-04 03:00:02,5.658
2023-01-04 04:00:02,5.552
2023-01-04 05:00:01,5.409
2023-01-04 06:00:02,5.629
2023-01-04 07:00:02,5.509
2023-01-04 08:00:01,5.953
2023-01-04 09:00:02,5.867
2023-01-04 10:00:02,5.734
2023-01-04 11:00:03,5.766
2023-01-04 12:00:01,5.809
2023-01-04 13:00:03,5.322
2023-01-04 16:00:01,5.503
2023-01-04 18:00:02,5.873
2023-01-04 20:00:01,5.775
2023-01-04 21:00:02,5.34
2023-01-04 22:00:00,5.675
2023-01-04 23:00:01,5.81
2023-01-05 00:00:01,5.909
2023-01-05 01:00:01,5.474
2023-01-05 02:00:01,5.724
2023-01-05 03:00:02,5.33
2023-01-05 04:00:01,5.789
2023-01-05 05:00:01,5.463
2023-01-05 06:00:02,5.662
2023-01-05 07:00:02,6.061
2023-01-05 08:00:01,5.649
2023-01-05 09:00:02,5.779
2023-01-05 10:00:02,5.563
2023-01-05 11:00:01,5.279
2023-01-05 12:00:00,5.52
2023-01-05 13:00:01,5.39
2023-01-05 14:00:02,5.762
2023-01-05 17:00:02,5.434
2023-01-05 18:00:01,5.396
2023-01-05 19:00:02,5.498
2023-01-05 20:00:02,5.469
2023-01-05 22:00:02,5.724
2023-01-05 23:00:01,5.814
2023-01-06 00:00:02,5.572
2023-01-06 01:00:02,6.012
2023-01-06 02:00:00,5.673
2023-01-06 03:00:02,5.436
2023-01-06 04:00:01,5.553
2023-01-06 05:00:00,5.551
2023-01-06 06:00:01,5.619
2023-01-06 07:00:01,5.524
2023-01-06 08:00:01,5.925
2023-01-06 09:00:01,5.891
2023-01-06 10:00:00,5.592
2023-01-06 12:00:01,5.736
2023-01-06 14:00:01,5.626
2023-01-06 15:00:01,5.583
2023-01-06 17:00:01,5.734
2023-01-06 18:00:01,5.464
2023-01-06 19:00:01,6.146
2023-01-06 20:00:05,5.603
2023-01-06 21:00:02,5.435
2023-01-06 22:00:01,5.833
2023-01-06 23:00:02,5.505
2023-01-07 00:00:02,5.739
2023-01-07 01:00:02,5.471
2023-01-07 02:00:02,5.7
2023-01-07 03:00:01,5.846
2023-01-07 04:00:02,5.808
2023-01-07 05:00:02,5.54
2023-01-07 06:00:02,5.966
2023-01-07 07:00:01,5.738
2023-01-07 08:00:01,5.594
2023-01-07 09:00:01,5.804
2023-01-07 10:00:01,5.92
2023-01-07 11:00:03,5.555
2023-01-07 12:00:01,5.703
2023-01-07 13:00:01,5.62
2023-01-07 14:00:02,5.93
2023-01-07 15:00:04,5.426
2023-01-07 16:00:04,6.075
2023-01-07 17:00:02,5.546
2023-01-07 18:00:01,5.677
2023-01-07 19:00:02,5.293
2023-01-07 20:00:00,5.661
2023-01-07 21:00:01,5.628
2023-01-07 22:00:00,5.745
2023-01-07 23:00:01,6.216
2023-01-08 00:00:02,5.769
2023-01-08 02:00:01,5.926
2023-01-08 03:00:02,5.575
2023-01-08 04:00:02,5.732
2023-01-08 05:00:01,6.015
2023-01-08 06:00:03,5.719
2023-01-08 07:00:28,5.774
2023-01-08 08:00:02,5.681
2023-01-08 09:00:02,5.586
2023-01-08 11:00:02,5.553
2023-01-08 13:00:02,5.59
2023-01-08 14:00:02,5.535
2023-01-08 15:00:01,6.017
2023-01-08 16:00:02,5.702
2023-01-08 18:00:02,5.865
2023-01-08 19:00:02,5.905
2023-01-08 20:00:21,5.966
2023-01-08 21:00:02,5.816
2023-01-08 22:00:04,5.39
2023-01-08 23:00:03,5.487
2023-01-09 00:00:02,5.941
2023-01-09 01:00:02,5.862
2023-01-09 02:00:00,6.056
2023-01-09 04:00:01,5.644
2023-01-09 07:00:05,5.976
2023-01-09 08:00:02,5.81
2023-01-09 09:00:02,5.777
2023-01-09 11:00:03,5.301
2023-01-09 12:00:03,5.822
2023-01-09 13:00:03,5.857
2023-01-09 14:00:00,5.721
2023-01-09 15:00:02,5.884
2023-01-09 16:00:02,5.777
2023-01-09 17:00:02,5.707
2023-01-09 18:00:01,5.797
2023-01-09 19:00:00,5.506
2023-01-09 20:00:01,5.352
2023-01-09 21:00:02,5.435
2023-01-09 22:00:03,5.328
2023-01-09 23:00:01,5.564
2023-01-10 00:00:03,5.785
2023-01-10 01:00:02,6.036
2023-01-10 02:00:01,5.559
2023-01-10 03:00:00,5.904
2023-01-10 04:00:01,5.62
2023-01-10 05:00:00,5.421
2023-01-10 06:00:01,5.44
2023-01-10 07:00:02,6.013
2023-01-10 08:00:01,5.918
2023-01-10 10:00:02,5.738
2023-01-10 11:00:00,5.385
2023-01-10 12:00:01,5.507
2023-01-10 13:00:01,6.328
2023-01-10 14:00:02,5.21
2023-01-10 15:00:02,5.66
2023-01-10 16:00:01,5.679
2023-01-10 17:00:01,5.765
2023-01-10 18:00:02,5.906
2023-01-10 19:00:01,5.726
2023-01-10 21:00:02,5.567
2023-01-10 22:00:04,5.625
2023-01-10 23:00:02,5.387
2023-01-11 00:00:02,5.804
2023-01-11 01:00:01,5.846
2023-01-11 02:00:01,5.738
2023-01-11 03:00:04,5.888
2023-01-11 04:00:01,5.563
2023-01-11 05:00:02,5.818
2023-01-11 06:00:02,5.759
2023-01-11 08:00:00,6.003
2023-01-11 09:00:01,5.983
2023-01-11 10:00:02,5.575
2023-01-11 11:00:01,5.745
2023-01-11 12:00:00,5.399
2023-01-11 13:00:01,5.585
2023-01-11 14:00:01,5.955
2023-01-11 15:00:01,5.689
2023-01-11 16:00:02,5.804
2023-01-11 17:00:02,5.634
2023-01-11 18:00:02,5.571
2023-01-11 19:00:00,5.953
2023-01-11 20:00:02,5.661
2023-01-11 21:00:02,5.215
2023-01-11 22:00:02,5.567
2023-01-11 23:00:02,5.674
2023-01-12 00:00:03,5.533
2023-01-12 01:00:01,5.674
2023-01-12 02:00:02,5.48
2023-01-12 03:00:01,5.93
2023-01-12 04:00:02,5.574
2023-01-12 05:00:01,5.902
2023-01-12 06:00:00,5.725
2023-01-12 07:00:03,5.687
2023-01-12 08:00:00,5.677
2023-01-12 10:00:03,5.92
2023-01-12 11:00:01,5.639
2023-01-12 12:00:00,5.789
2023-01-12 13:00:02,6.114
2023-01-12 14:00:00,5.682
2023-01-12 15:00:03,5.992
2023-01-12 16:00:01,5.9
2023-01-12 17:00:01,6.003
2023-01-12 18:00:01,5.483
2023-01-12 19:00:02,5.767
2023-01-12 20:00:02,5.534
2023-01-12 21:00:00,5.885
2023-01-12 22:00:02,6.141
2023-01-12 23:00:02,5.645
2023-01-13 00:00:01,5.558
2023-01-13 01:00:02,5.909
2023-01-13 02:00:00,5.846
2023-01-13 03:00:02,5.512
2023-01-13 04:00:02,5.957
2023-01-13 05:00:02,6.102
2023-01-13 06:00:01,5.512
2023-01-13 07:00:02,5.472
2023-01-13 08:00:06,5.627
2023-01-13 09:00:02,6.01
2023-01-13 10:00:02,5.474
2023-01-13 11:00:02,5.709
2023-01-13 14:00:02,6.045
2023-01-13 15:00:02,5.657
2023-01-13 18:00:03,6.014
2023-01-13 19:00:02,6.007
2023-01-13 20:00:01,5.556
2023-01-13 21:00:00,5.579
2023-01-13 22:00:02,5.658
2023-01-13 23:00:02,5.672
2023-01-14 00:00:01,5.945
2023-01-14 01:00:02,5.88
2023-01-14 02:00:02,5.722
2023-01-14 03:00:01,5.812
2023-01-14 04:00:01,5.731
2023-01-14 05:00:02,5.647
2023-01-14 06:00:01,5.537
2023-01-14 08:00:01,5.866
2023-01-14 09:00:02,5.341
2023-01-14 10:00:02,5.783
2023-01-14 11:00:02,5.149
2023-01-14 12:00:01,5.722
2023-01-14 13:00:01,5.627
2023-01-14 14:00:02,5.751
2023-01-14 15:00:01,5.647
2023-01-14 16:00:00,5.8
2023-01-14 17:00:03,5.74
2023-01-14 18:00:01,5.398
2023-01-14 19:00:00,5.855
2023-01-14 20:00:02,5.78
2023-01-14 21:00:01,5.562
2023-01-14 22:00:02,6.126
2023-01-14 23:00:01,5.405
2023-01-15 00:00:00,5.457
2023-01-15 01:00:00,5.471
2023-01-15 02:00:02,5.708
2023-01-15 03:00:02,5.875
2023-01-15 04:00:01,5.82
2023-01-15 05:00:02,5.897
2023-01-15 06:00:02,5.55
2023-01-15 07:00:01,5.733
2023-01-15 08:00:02,5.376
2023-01-15 09:00:02,5.767
2023-01-15 10:00:01,5.79
2023-01-15 11:00:00,5.611
2023-01-15 12:00:01,5.751
2023-01-15 13:00:02,5.856
2023-01-15 14:00:02,5.586
2023-01-15 15:00:04,6.024
2023-01-15 16:00:03,5.721
2023-01-15 17:00:01,5.602
2023-01-15 18:00:01,5.949
2023-01-15 19:00:01,5.73
2023-01-15 21:00:02,5.721
2023-01-15 22:00:03,5.582
2023-01-15 23:00:00,5.477
2023-01-16 00:00:00,5.637
2023-01-16 01:00:02,5.312
2023-01-16 02:00:01,5.736
2023-01-16 03:00:03,5.698
2023-01-16 04:00:01,5.704
2023-01-16 05:00:02,5.811
2023-01-16 06:00:03,5.527
2023-01-16 07:00:02,5.775
2023-01-16 08:00:02,5.704
2023-01-16 10:00:01,5.896
2023-01-16 11:00:02,5.364
2023-01-16 12:00:02,5.731
2023-01-16 13:00:03,5.783
2023-01-16 14:00:02,5.247
2023-01-16 15:00:05,5.484
2023-01-16 18:00:01,5.648
2023-01-16 19:00:01,5.49
2023-01-16 20:00:01,5.4
2023-01-16 22:00:02,5.729
2023-01-16 23:00:02,5.822
2023-01-17 00:00:01,5.932
2023-01-17 01:00:01,5.856
2023-01-17 03:00:01,5.858
2023-01-17 04:00:02,5.806
2023-01-17 05:00:02,5.715
2023-01-17 06:00:02,5.433
2023-01-17 07:00:02,5.922
2023-01-17 08:00:01,5.45
2023-01-17 09:00:02,5.772
2023-01-17 10:00:02,5.505
2023-01-17 11:00:01,5.799
2023-01-17 12:00:02,5.938
2023-01-17 13:00:03,5.914
2023-01-17 14:00:02,5.813
2023-01-17 16:00:01,5.554
2023-01-17 17:00:02,5.949
2023-01-17 18:00:02,5.464
2023-01-17 20:00:00,5.923
2023-01-17 21:00:01,5.585
2023-01-17 22:00:01,5.878
2023-01-17 23:00:02,5.691
2023-01-18 00:00:00,5.556
2023-03-16 16:00:03,5.751
2023-03-16 17:00:01,5.883
2023-03-16 18:00:02,5.686
2023-03-16 19:00:02,5.574
2023-03-16 20:00:02,5.385
2023-03-16 21:00:02,5.743
2023-03-16 22:00:00,5.94
2023-03-16 23:00:01,5.6
2023-03-17 00:00:02,5.801
2023-03-17 01:00:02,5.692
2023-03-17 02:00:03,5.79
2023-03-17 03:00:00,5.8
2023-03-17 04:00:01,5.444
2023-03-17 06:00:02,5.448
2023-03-17 07:00:02,5.687
2023-03-17 08:00:02,5.78
2023-03-17 09:00:01,5.657
2023-03-17 10:00:01,5.74
2023-03-17 11:00:01,5.986
2023-03-17 12:00:01,5.635
2023-03-17 13:00:00,5.559
2023-03-17 14:00:01,5.742
2023-03-17 15:00:02,5.616
2023-03-17 16:00:01,5.748
2023-03-17 17:00:01,5.618
2023-03-17 18:00:01,5.497
2023-03-17 19:00:01,5.818
2023-03-17 20:00:01,5.913
2023-03-17 21:00:03,5.623
2023-03-17 22:00:02,5.85
2023-03-18 00:00:03,5.648
2023-03-18 01:00:00,5.913
2023-03-18 02:00:02,6.059
2023-03-18 03:00:01,5.858
2023-03-18 04:00:02,5.822
2023-03-18 05:00:01,5.664
2023-03-18 06:00:01,5.691
2023-03-18 07:00:01,6.18
2023-03-18 08:00:02,5.955
2023-03-18 09:00:01,5.9
2023-03-18 10:00:02,5.828
2023-03-18 11:00:00,5.448
2023-03-18 12:00:01,5.76
2023-03-18 13:00:01,5.657
2023-03-18 14:00:03,5.778
2023-03-18 15:00:01,5.409
2023-03-18 16:00:03,5.539
2023-03-18 17:00:03,5.795
2023-03-18 18:00:01,6.022
2023-03-18 19:00:01,5.658
2023-03-18 21:00:03,5.818
2023-03-18 22:00:01,5.473
2023-03-18 23:00:01,5.914
2023-03-19 00:00:00,5.946
2023-03-19 01:00:02,5.502
2023-03-19 02:00:02,5.649
2023-03-19 03:00:01,5.714
2023-03-19 04:00:01,5.95
2023-03-19 06:00:02,5.847
2023-03-19 07:00:03,5.741
2023-03-19 09:00:03,5.987
2023-03-19 10:00:02,5.562
2023-03-19 12:00:02,5.772
2023-03-19 13:00:01,5.653
2023-03-19 14:00:01,5.731
2023-03-19 15:00:03,5.736
2023-03-19 16:00:01,5.411
2023-03-19 17:00:01,5.942
2023-03-19 18:00:02,5.729
2023-03-19 19:00:01,5.55
2023-03-19 20:00:01,5.745
2023-03-19 21:00:02,5.572
2023-03-19 22:00:00,5.745
2023-03-19 23:00:00,5.701
2023-03-20 00:00:02,5.577
2023-03-20 02:00:01,5.864
2023-03-20 04:00:01,5.361
2023-03-20 05:00:02,5.563
2023-03-20 06:00:01,5.632
2023-03-20 07:00:01,5.78
2023-03-20 08:00:03,5.679
2023-03-20 09:00:02,5.665
2023-03-20 10:00:01,5.449
2023-03-20 11:00:01,5.385
2023-03-20 12:00:02,5.812
2023-03-20 13:00:01,5.827
2023-03-20 14:00:02,5.768
2023-03-20 15:00:02,5.615
2023-03-20 16:00:00,5.836
2023-03-20 18:00:02,5.435
2023-03-20 19:00:02,5.285
2023-03-20 20:00:03,5.832
2023-03-20 21:00:01,5.889
2023-03-20 22:00:01,5.744
2023-03-20 23:00:01,5.49
