Kota;Prakiraan Cuaca Malam;Prakiraan Cuaca Dini Hari;Suhu ( °C );Kelembapan ( % )
Banda Aceh;Berawan;Hujan Ringan;21 - 32;60 - 95
Denpasar;Cerah Berawan;Cerah Berawan;26 - 34;65 - 90
Serang;Berawan;Berawan;24 - 33;60 - 90
Bengkulu;Hujan Ringan;Berawan;23 - 33;55 - 100
Yogyakarta;Hujan Sedang;Berawan;24 - 31;65 - 95
Jakarta Pusat;Cerah Berawan;Cerah Berawan;25 - 32;80 - 90
Gorontalo;Cerah Berawan;Cerah Berawan;23 - 33;60 - 95
Jambi;Berawan;Berawan;24 - 32;65 - 100
Bandung;Hujan Ringan;Hujan Ringan;20 - 31;55 - 95
Semarang;Berawan Tebal;Berawan;24 - 32;60 - 90
Surabaya;Berawan;Berawan;24 - 34;55 - 95
Pontianak;Berawan;Kabut;23 - 33;60 - 100
Banjarmasin;Berawan;Cerah Berawan;22 - 32;55 - 95
Palangkaraya;Berawan;Berawan;23 - 30;70 - 100
Samarinda;Cerah Berawan;Hujan Sedang;22 - 31;65 - 100
Tarakan;Cerah Berawan;Berawan;24 - 29;75 - 95
Pangkal Pinang;Cerah;Cerah;23 - 32;65 - 95
Tanjung Pinang;Cerah Berawan;Cerah Berawan;24 - 31;65 - 95
Bandar Lampung;Hujan Lebat;Berawan;22 - 30;70 - 100
Ambon;Hujan Ringan;Berawan;24 - 32;70 - 95
Ternate;Hujan Petir;Berawan;23 - 32;65 - 100
Mataram;Berawan;Cerah Berawan;24 - 32;65 - 95
Kupang;Hujan Ringan;Hujan Sedang;24 - 32;75 - 90
Kota Jayapura;Berawan;Hujan Ringan;23 - 31;65 - 95
Manokwari;Berawan;Berawan;24 - 32;70 - 95
Pekanbaru;Hujan Ringan;Berawan;23 - 31;55 - 100
Mamuju;Cerah Berawan;Cerah Berawan;26 - 32;65 - 90
Makassar;Berawan;Berawan;25 - 31;70 - 90
Kendari;Cerah Berawan;Berawan;24 - 32;65 - 95
Manado;Berawan;Berawan;23 - 31;70 - 95
Padang;Berawan;Hujan Petir;23 - 30;75 - 100
Palembang;Berawan;Hujan Ringan;24 - 33;55 - 100
Medan;Hujan Sedang;Berawan;23 - 32;65 - 95
