Kota,Prakiraan Cuaca Malam,Prakiraan Cuaca Dini Hari,Suhu (°C),Kelembapan (%)
Banda Aceh,Cerah Berawan,Cerah Berawan,23 - 33,60 - 95
Denpasar,Berawan,Cerah Berawan,24 - 33,60 - 90
Serang,Berawan,Hujan Ringan,23 - 33,60 - 90
Bengkulu,Hujan Sedang,Cerah Berawan,24 - 32,65 - 95
Yogyakarta,Hujan Ringan,Cerah Berawan,24 - 32,65 - 95
Jakarta Pusat,Berawan,Berawan,26 - 33,75 - 95
Gorontalo,Hujan Ringan,Cerah Berawan,23 - 33,60 - 95
Jambi,Berawan,Kabut,23 - 32,65 - 100
Bandung,Hujan Sedang,Berawan,20 - 29,70 - 95
Semarang,Hujan Ringan,Cerah Berawan,25 - 33,65 - 90
Surabaya,Cerah Berawan,Berawan,25 - 33,75 - 90
Pontianak,Berawan,Cerah Berawan,23 - 33,65 - 100
Banjarmasin,Cerah Berawan,Cerah Berawan,24 - 33,60 - 95
Palangkaraya,Hujan Ringan,Berawan,24 - 33,55 - 95
Samarinda,Berawan,Kabut,24 - 31,70 - 100
Tarakan,Cerah,Cerah Berawan,25 - 32,60 - 95
Pangkal Pinang,Berawan,Cerah Berawan,24 - 33,60 - 100
Tanjung Pinang,Berawan,Berawan,24 - 31,65 - 95
Bandar Lampung,Cerah Berawan,Hujan Ringan,23 - 29,75 - 100
Ambon,Cerah Berawan,Cerah Berawan,24 - 29,75 - 95
Ternate,Cerah Berawan,Cerah Berawan,24 - 32,70 - 95
Mataram,Cerah Berawan,Cerah Berawan,24 - 32,65 - 95
Kupang,Cerah Berawan,Cerah Berawan,22 - 32,60 - 90
Kota Jayapura,Berawan,Berawan,23 - 31,65 - 95
Manokwari,Cerah Berawan,Cerah Berawan,24 - 33,65 - 95
Pekanbaru,Berawan,Kabut,24 - 32,55 - 100
Mamuju,Hujan Ringan,Cerah Berawan,25 - 32,65 - 90
Makassar,Berawan,Berawan,25 - 33,65 - 90
Kendari,Cerah Berawan,Berawan,24 - 32,65 - 95
Manado,Berawan,Berawan,23 - 31,65 - 95
Padang,Hujan Ringan,Cerah Berawan,24 - 30,70 - 95
Palembang,Berawan,Hujan Ringan,24 - 32,55 - 95
Medan,Hujan Ringan,Berawan,23 - 34,80 - 100
