Kota,Prakiraan Cuaca Malam,Prakiraan Cuaca Dini Hari,Suhu ( °C ),Kelembapan ( % )
Banda Aceh,Berawan Tebal,Cerah Berawan,22 - 32,55 - 95
Denpasar,Cerah Berawan,Berawan,25 - 34,65 - 90
Serang,Berawan,Berawan,24 - 32,60 - 90
Bengkulu,Hujan Ringan,Cerah Berawan,23 - 32,65 - 95
Yogyakarta,Berawan,Cerah Berawan,24 - 32,70 - 95
Jakarta Pusat,Cerah Berawan,Cerah Berawan,25 - 31,80 - 95
Gorontalo,Cerah Berawan,Cerah Berawan,23 - 33,60 - 95
Jambi,Berawan,Kabut,23 - 32,60 - 100
Bandung,Hujan Ringan,Berawan,18 - 31,65 - 95
Semarang,Berawan,Berawan,24 - 33,60 - 95
Surabaya,Cerah Berawan,Berawan,25 - 33,60 - 95
Pontianak,Berawan,Berawan,23 - 33,60 - 100
Banjarmasin,Hujan Ringan,Berawan,24 - 33,60 - 95
Palangkaraya,Hujan Ringan,Hujan Ringan,23 - 32,65 - 100
Samarinda,Cerah Berawan,Hujan Ringan,23 - 30,70 - 100
Tarakan,Cerah Berawan,Hujan Ringan,25 - 30,80 - 90
Pangkal Pinang,Cerah Berawan,Berawan,23 - 32,80 - 95
Tanjung Pinang,Berawan,Berawan,26 - 32,65 - 95
Bandar Lampung,Hujan Ringan,Hujan Ringan,23 - 30,70 - 100
Ambon,Berawan,Berawan,24 - 32,70 - 95
Ternate,Hujan Ringan,Hujan Ringan,23 - 32,65 - 100
Mataram,Berawan Tebal,Hujan Ringan,24 - 32,65 - 95
Kupang,Berawan,Cerah Berawan,23 - 32,70 - 95
Kota Jayapura,Hujan Ringan,Berawan Tebal,23 - 31,65 - 95
Manokwari,Berawan,Berawan,25 - 31,80 - 95
Pekanbaru,Hujan Ringan,Hujan Ringan,22 - 30,75 - 100
Mamuju,Hujan Lebat,Hujan Lebat,24 - 31,70 - 90
Makassar,Berawan,Berawan,24 - 33,70 - 90
Kendari,Berawan,Berawan,24 - 32,70 - 95
Manado,Berawan,Berawan,23 - 32,65 - 95
Padang,Berawan,Hujan Ringan,23 - 31,85 - 100
Palembang,Hujan Ringan,Cerah Berawan,23 - 32,60 - 100
Medan,Hujan Sedang,Berawan,23 - 34,75 - 95
