Kota;Prakiraan Cuaca Siang;Prakiraan Cuaca Malam;Prakiraan Cuaca Dini Hari;Suhu (°C);Kelembapan (%)
Banda Aceh;Berawan Tebal;Berawan;Cerah Berawan;24 - 32;65 - 95
Denpasar;Hujan Ringan;Berawan;Cerah Berawan;25 - 34;55 - 90
Serang;Hujan Sedang;Berawan;Berawan;23 - 32;60 - 95
Bengkulu;Cerah Berawan;Berawan;Cerah Berawan;24 - 31;65 - 95
Yogyakarta;Hujan Petir;Berawan;Berawan;24 - 32;70 - 95
Jakarta Pusat;Hujan Sedang;Berawan;Cerah Berawan;25 - 29;80 - 100
Gorontalo;Hujan Ringan;Berawan;Berawan;23 - 33;60 - 95
Jambi;Hujan Petir;Berawan;Kabut;23 - 32;60 - 95
Bandung;Hujan Ringan;Hujan Ringan;Berawan;20 - 28;60 - 95
Semarang;Hujan Ringan;Hujan Ringan;Hujan Ringan;24 - 33;60 - 95
Surabaya;Hujan Ringan;Berawan;Berawan Tebal;24 - 34;60 - 95
Pontianak;Hujan Sedang;Cerah Berawan;Cerah Berawan;24 - 33;60 - 95
Banjarmasin;Hujan Ringan;Hujan Petir;Hujan Ringan;24 - 33;60 - 95
Palangkaraya;Berawan;Hujan Ringan;Hujan Ringan;23 - 31;70 - 100
Samarinda;Berawan;Berawan;Kabut;23 - 28;80 - 100
Tarakan;Cerah Berawan;Cerah Berawan;Hujan Ringan;24 - 31;75 - 90
Pangkal Pinang;Hujan Ringan;Berawan;Cerah Berawan;23 - 30;90 - 100
Tanjung Pinang;Hujan Ringan;Berawan;Cerah Berawan;24 - 32;65 - 95
Bandar Lampung;Hujan Petir;Hujan Ringan;Kabut;22 - 30;75 - 100
Ambon;Berawan;Berawan;Berawan;24 - 32;75 - 95
Ternate;Hujan Ringan;Berawan;Hujan Ringan;23 - 32;70 - 100
Mataram;Berawan;Berawan;Berawan;24 - 32;60 - 95
Kupang;Berawan;Berawan;Berawan;24 - 32;70 - 95
Kota Jayapura;Berawan;Berawan;Cerah Berawan;23 - 31;65 - 95
Manokwari;Berawan;Hujan Ringan;Berawan;24 - 32;70 - 90
Pekanbaru;Hujan Ringan;Hujan Ringan;Kabut;23 - 31;60 - 100
Mamuju;Hujan Ringan;Hujan Ringan;Hujan Ringan;24 - 31;70 - 95
Makassar;Berawan;Hujan Ringan;Hujan Sedang;25 - 33;70 - 85
Kendari;Hujan Ringan;Hujan Ringan;Berawan;24 - 32;65 - 95
Manado;Hujan Petir;Hujan Ringan;Berawan;23 - 31;70 - 95
Padang;Berawan;Cerah Berawan;Cerah Berawan;23 - 31;85 - 95
Palembang;Hujan Sedang;Berawan;Cerah Berawan;23 - 30;75 - 100
Medan;Hujan Sedang;Hujan Ringan;Berawan;22 - 33;70 - 95
