Kota,Prakiraan Cuaca Dini Hari,Suhu (°C),Kelembapan (%)
Banda Aceh,Cerah Berawan,22 - 32,65 - 95
Denpasar,Cerah Berawan,25 - 33,70 - 90
Serang,Berawan,23 - 31,65 - 95
Bengkulu,Berawan,24 - 32,65 - 95
Yogyakarta,Berawan,24 - 32,65 - 95
Jakarta Pusat,Cerah Berawan,24 - 29,80 - 95
Gorontalo,Berawan,23 - 33,60 - 95
Jambi,Hujan Petir,23 - 31,70 - 100
Bandung,Berawan,20 - 28,55 - 95
Semarang,Berawan,24 - 32,60 - 95
Surabaya,Hujan Ringan,24 - 33,60 - 95
Pontianak,Cerah Berawan,23 - 32,60 - 100
Banjarmasin,Hujan Ringan,23 - 32,70 - 95
Palangkaraya,Hujan Ringan,23 - 32,65 - 100
Samarinda,Kabut,23 - 28,85 - 100
Tarakan,Berawan,24 - 31,80 - 95
Pangkal Pinang,Hujan Ringan,24 - 32,70 - 100
Tanjung Pinang,Cerah Berawan,25 - 31,65 - 95
Bandar Lampung,Berawan,22 - 29,75 - 100
Ambon,Cerah Berawan,23 - 28,80 - 95
Ternate,Hujan Ringan,24 - 30,75 - 95
Mataram,Cerah Berawan,24 - 32,65 - 95
Kupang,Cerah Berawan,24 - 31,70 - 95
Kota Jayapura,Berawan,23 - 31,65 - 95
Manokwari,Hujan Ringan,24 - 33,70 - 95
Pekanbaru,Hujan Ringan,23 - 30,75 - 100
Mamuju,Hujan Ringan,24 - 30,75 - 95
Makassar,Berawan,25 - 33,70 - 90
Kendari,Berawan,24 - 32,65 - 95
Manado,Berawan,22 - 31,70 - 95
Padang,Berawan,23 - 30,65 - 95
Palembang,Kabut,23 - 33,55 - 95
Medan,Berawan,22 - 34,70 - 95
